"CD_NOM","NOM_VALIDE","LAVERGNE"
"79684","Abutilon theophrasti","1"
"79788","Acer saccharinum","1"
"79890","Achillea filipendulina","1"
"80304","Aegilops ventricosa","1"
"80334","Aesculus hippocastanum","1"
"80923","Aira tenorei","1"
"81023","Alcea rosea","1"
"81445","Allium neapolitanum","1"
"81567","Alnus cordata","1"
"81971","Amaranthus caudatus","1"
"81976","Amaranthus cruentus","1"
"81991","Amaranthus graecizans","1"
"82033","Amaranthus viridis","1"
"82353","Anaphalis margaritacea","1"
"82390","Anchusa ochroleuca","1"
"82391","Anchusa officinalis","1"
"82692","Anethum graveolens","1"
"82856","Anthemis maritima","1"
"82932","Anthriscus cerefolium","1"
"83058","Antirrhinum majus","1"
"83299","Arabis caucasica","1"
"83866","Armoracia rusticana","1"
"84279","Asparagus officinalis","1"
"85075","Atriplex hortensis","1"
"85114","Atriplex rosea","1"
"85170","Aubrieta deltoidea","1"
"85378","Avena strigosa","1"
"85531","Barbarea bracteosa","1"
"85631","Bassia scoparia","1"
"85779","Bergenia crassifolia","1"
"85981","Bidens subalternans","1"
"86156","Borago officinalis","1"
"86383","Brassica juncea","1"
"86399","Brassica napus","1"
"86406","Brassica oleracea","1"
"87051","Bupleurum fruticosum","1"
"87429","Calendula officinalis","1"
"87464","Callistephus chinensis","1"
"87583","Camelina sativa","1"
"87602","Campanula alliariifolia","1"
"87616","Campanula carpatica","1"
"87696","Campanula portenschlagiana","1"
"87788","Cannabis sativa","1"
"88956","Carex vulpinoidea","1"
"89323","Catalpa bignonioides","1"
"89455","Cedrus libani","1"
"89888","Centranthus ruber","1"
"90231","Ceratostigma plumbaginoides","1"
"90307","Chaenomeles japonica","1"
"91136","Cicer arietinum","1"
"91887","Clematis viticella","1"
"92449","Coreopsis lanceolata","1"
"92465","Coriandrum sativum","1"
"92521","Coronilla glauca","1"
"92525","Coronilla juncea","1"
"92623","Cosmos bipinnatus","1"
"92658","Cotoneaster franchetii","1"
"92704","Cotoneaster salicifolius","1"
"92824","Crataegus azarolus","1"
"93535","Cucumis melo","1"
"93539","Cucumis sativus","1"
"93550","Cucurbita maxima","1"
"93555","Cucurbita pepo","1"
"93570","Cupressus arizonica","1"
"93590","Cupressus sempervirens","1"
"93699","Cyclamen hederifolium","1"
"93734","Cydonia oblonga","1"
"160113","Danae racemosa","1"
"94473","Dasypyrum villosum","1"
"94481","Datura innoxia","1"
"94698","Dianthus barbatus","1"
"94717","Dianthus caryophyllus","1"
"1003150","Diospyros kaki","1"
"95151","Dipsacus laciniatus","1"
"95187","Dittrichia viscosa","1"
"95425","Dracunculus vulgaris","1"
"95662","Ecballium elaterium","1"
"95669","Echinochloa colona","1"
"95700","Echinops exaltatus","1"
"95954","Eleusine africana","1"
"96580","Eragrostis barrelieri","1"
"96648","Eranthis hyemalis","1"
"96836","Eriobotrya japonica","1"
"96925","Erodium moschatum","1"
"97041","Eruca sativa","1"
"97185","Erysimum cheiri","1"
"97527","Euphorbia glyptosperma","1"
"97543","Euphorbia humifusa","1"
"97556","Euphorbia lathyris","1"
"97935","Fagopyrum esculentum","1"
"98784","Forsythia x intermedia","1"
"98870","Fragaria x ananassa","1"
"99261","Galega orientalis","1"
"99358","Galinsoga parviflora","1"
"99694","Gaultheria procumbens","1"
"100059","Geranium endressii","1"
"100128","Geranium pratense","1"
,,"1"
"100258","Ginkgo biloba","1"
"100427","Glycyrrhiza glabra","1"
"100596","Guizotia abyssinica","1"
"100678","Gypsophila paniculata","1"
"100788","Hedera hibernica","1"
"101027","Helianthus annuus","1"
"101202","Helleborus viridis","1"
"101460","Hesperis matronalis","1"
"101544","Hibiscus syriacus","1"
"102876","Hirschfeldia incana","1"
"718237","Hordeum distichon","1"
"102964","Hordeum jubatum","1"
"103055","Hyacinthoides hispanica","1"
"103057","Hyacinthoides non-scripta","1"
"611165","Hyacinthoides x massartiana","1"
"103081","Hyacinthus orientalis","1"
"103108","Hydrangea macrophylla","1"
"103254","Hypericum calycinum","1"
"103502","Iberis umbellata","1"
"103562","Imperata cylindrica","1"
"103627","Inula helenium","1"
"521639","Ipomoea purpurea","1"
"103737","Iris germanica","1"
"103763","Iris pallida","1"
"103791","Iris unguicularis","1"
"103857","Isolepis cernua","1"
"104039","Jasminum nudiflorum","1"
"104076","Juglans regia","1"
"104422","Juniperus virginiana","1"
"104493","Kerria japonica","1"
"923647","Cercospora lactucae-sativae","1"
"104841","Lagurus ovatus","1"
"105256","Lathyrus sativus","1"
"105612","Lepidium densiflorum","1"
"105673","Lepidium sativum","1"
"105764","Leucanthemella serotina","1"
"105963","Ligustrum ovalifolium","1"
"106349","Linum usitatissimum","1"
"106365","Liriodendron tulipifera","1"
"106439","Lobularia maritima","1"
"106556","Lonicera caprifolium","1"
"998125","Lonicera nitida","1"
"106588","Lonicera tatarica","1"
"106765","Lupinus albus","1"
"106966","Lycium chinense","1"
"106969","Lycium europaeum","1"
"107077","Lysimachia punctata","1"
"107130","Maclura pomifera","1"
"107141","Magnolia grandiflora","1"
"107207","Malus pumila","1"
"107647","Medicago littoralis","1"
"107711","Medicago sativa","1"
"107992","Melissa officinalis","1"
"108166","Mentha spicata","1"
,,"1"
,,"1"
"108805","Moricandia arvensis","1"
"108822","Morus nigra","1"
"109104","Myosotis sylvatica","1"
"161809","Nassella tenuissima","1"
"109516","Nepeta cataria","1"
"109584","Nerium oleander","1"
"NOMATCH","NOMATCH","1"
"109614","Nicotiana tabacum","1"
"109631","Nigella hispanica","1"
"109689","Nonea erecta","1"
"109942","Oenothera nuda","1"
"160398","Oenothera speciosa","1"
"109969","Oenothera suaveolens","1"
"109971","Oenothera subterminalis","1"
"110002","Olea europaea","1"
"110072","Omphalodes verna","1"
"110758","Opuntia ficus-indica","1"
"NOMATCH","NOMATCH","1"
"111876","Oxalis corniculata","1"
"111910","Oxalis pes-caprae","1"
"111913","Oxalis purpurea","1"
"112560","Paulownia tomentosa","1"
"112669","Pentaglottis sempervirens","1"
"112821","Petroselinum crispum","1"
"112915","Phacelia tanacetifolia","1"
"112988","Phalaris canariensis","1"
"610868","Phedimus spurius","1"
"113134","Philadelphus coronarius","1"
"113247","Phlox paniculata","1"
"113321","Physalis alkekengi","1"
"113329","Physalis peruviana","1"
"161577","Physalis philadelphica","1"
"113444","Picea sitchensis","1"
"113513","Pilosella caespitosa","1"
"113682","Pinus mugo","1"
"113689","Pinus pinaster","1"
"113690","Pinus pinea","1"
"113702","Pinus strobus","1"
"114037","Platycladus orientalis","1"
"112750","Persicaria orientalis","1"
"115025","Polypogon maritimus","1"
"115096","Pontederia cordata","1"
"115122","Populus deltoides","1"
"115145","Populus nigra","1"
"115157","Populus trichocarpa","1"
"115575","Potentilla norvegica","1"
"116041","Prunus armeniaca","1"
"116053","Prunus cerasifera","1"
"116054","Prunus cerasus","1"
"116067","Prunus domestica","1"
"116068","Prunus dulcis","1"
"116093","Prunus lusitanica","1"
"116112","Prunus persica","1"
"116155","Prunus virginiana","1"
"116197","Pseudofumaria alba","1"
"116198","Pseudofumaria lutea","1"
"116216","Pseudotsuga menziesii","1"
"447462","Punica granatum","1"
"116670","Quercus cerris","1"
"116740","Quercus palustris","1"
"117355","Raphanus sativus","1"
"117766","Ribes nigrum","1"
"118353","Rosa multiflora","1"
"118920","Rubia tinctorum","1"
"119171","Rubus laciniatus","1"
"119406","Rudbeckia hirta","1"
"119710","Ruta chalepensis","1"
"119716","Ruta graveolens","1"
"119954","Salix babylonica","1"
"120678","Salvia officinalis","1"
"120691","Salvia sclarea","1"
"120703","Salvia verticillata","1"
"120875","Sarracenia purpurea","1"
"120901","Satureja hortensis","1"
"121380","Scabiosa ochroleuca","1"
"121550","Schoenoplectus litoralis","1"
"717535","Scirpus pendulus","1"
"122060","Scrophularia vernalis","1"
"122064","Scutellaria altissima","1"
"122085","Secale cereale","1"
"122248","Sedum sarmentosum","1"
"122723","Senecio squalidus","1"
"122785","Sequoia sempervirens","1"
"123102","Setaria adhaerens","1"
"106910","Silene coronaria","1"
"123711","Sinapis alba","1"
"123799","Sisymbrium altissimum","1"
"123926","Sisyrinchium angustifolium","1"
"123933","Sisyrinchium montanum","1"
"124089","Solanum physalifolium","1"
"124093","Solanum pseudocapsicum","1"
"124125","Solanum tuberosum","1"
"124369","Sorghum bicolor","1"
"124619","Spiraea alba","1"
"124629","Spiraea chamaedryfolia","1"
"124725","Sporobolus neglectus","1"
