"CD_NOM","NOM_VALIDE","NOM_VERN","LAVERGNE"
"119558","Rumex patientia","Epinard-oseille","2 et 2+"
"911052","Uromyces setariae-italicae","Sétaire d'Italie","2+"
"124164","Solidago canadensis","Solidage du Canada","2 et 2+"
"124300","Sorbaria sorbifolia","Sorbaire à feuilles de sorbier","2+"
"124378","Sorghum halepense","Sorgho d'Alep","2 et 2+"
"124646","Spiraea japonica","Spirée du Japon","2+"
"124730","Sporobolus vaginiflorus","Sporobole engainé","2+"
"125324","Symphoricarpos albus","Symphorine à fruits blancs","2"
"125369","Symphytum x uplandicum","Consoude d'Upland","2"
"128863","Veronica filiformis","Véronique filiforme","2 et 2+"
"130491","Xanthium spinosum","Lampourde épineuse","2+"
"81992","Amaranthus hybridus","Amarante hybride","3"
"82018","Amaranthus retroflexus","Amarante réfléchie","3"
"85795","Berteroa incana","Bertéroa blanchi","3"
"92179","Collomia grandiflora","Collomia à grandes fleurs","3"
"93924","Cyperus esculentus","Souchet comestible","3"
"94489","Datura stramonium","Datura officinal","3"
"96143","Epilobium brachycarpum","Épilobe à fruits courts","3"
"96149","Epilobium ciliatum","Épilobe cilié","3"
"96739","Erigeron annuus","Érigéron annuel","4"
"857334","Sphaerotheca erigerontis-canadensis","Érigéron du Canada","4"
"96814","Erigeron sumatrensis","Érigéron de Sumatra","4"
"97571","Euphorbia maculata","Euphorbe maculée","3"
"99260","Galega officinalis","Galéga officinal","3"
"99359","Galinsoga quadriradiata","Galinsoge quadriradiée","3"
"103543","Impatiens balfourii","Impatience de Balfour","3"
"104353","Juncus tenuis","Jonc ténu","3"
"111881","Oxalis dillenii","Oxalide de Dillenius","3"
"111921","Oxalis fontana","Oxalide d'Europe","3"
"112130","Panicum dichotomiflorum","Panic à fleurs dichotomes","3"
"117723","Rhus typhina","Sumac vinaigrier","3"
"124719","Sporobolus indicus","Sporobole d'Inde","3"
"612575","Symphyotrichum novi-belgii var. novi-belgii (L.) G.L.Nesom, 1995","Symphyotrichum novi-belgii var. novi-belgii (L.) G.L.Nesom, 1995","4"
"612631","Xanthium orientale subsp. orientale L., 1763","Xanthium orientale subsp. orientale L., 1763","4"
"612629","Xanthium orientale subsp. italicum (Moretti) Greuter, 2003","Xanthium orientale subsp. italicum (Moretti) Greuter, 2003","4"
"612630","Xanthium orientale subsp. riparium (Čelak.) Greuter, 2003","Xanthium orientale subsp. riparium (Čelak.) Greuter, 2003","4"
"718297","Xanthium orientale subsp. saccharatum (Wallr.) B.Bock, 2012","Xanthium orientale subsp. saccharatum (Wallr.) B.Bock, 2012","4"
"150567","Reynoutria japonica var. japonica Houtt., 1777","Reynoutria japonica var. japonica Houtt., 1777","5"
"150565","Reynoutria japonica var. compacta (Hook.f.) Moldenke, 1941","Reynoutria japonica var. compacta (Hook.f.) Moldenke, 1941","5"
"140381","Rumex patientia subsp. patientia L., 1753","Rumex patientia subsp. patientia L., 1753","2 et 2+"
"140380","Rumex patientia subsp. orientalis Danser, 1924","Rumex patientia subsp. orientalis Danser, 1924","2 et 2+"
"152064","Symphoricarpos albus var. laevigatus (Fernald) S.F.Blake, 1914","Symphoricarpos albus var. laevigatus (Fernald) S.F.Blake, 1914","2"
"133648","Cytisus striatus subsp. striatus (Hill) Rothm., 1944","Cytisus striatus subsp. striatus (Hill) Rothm., 1944","2 et 2+"
"612513","Ludwigia grandiflora subsp. hexapetala (Hook. & Arn.) G.L.Nesom & Kartesz, 2000","Ludwigia grandiflora subsp. hexapetala (Hook. & Arn.) G.L.Nesom & Kartesz, 2000","5"
"448692","Ludwigia peploides subsp. peploides (Kunth) P.H.Raven, 1964","Ludwigia peploides subsp. peploides (Kunth) P.H.Raven, 1964","A signaler"
"612514","Ludwigia peploides subsp. montevidensis (Spreng.) P.H.Raven, 1964","Ludwigia peploides subsp. montevidensis (Spreng.) P.H.Raven, 1964","A signaler"
"138843","Pinus nigra subsp. nigra J.F.Arnold, 1785","Pinus nigra subsp. nigra J.F.Arnold, 1785","2+"
"138841","Pinus nigra subsp. laricio Palib. ex Maire, 1928","Pinus nigra subsp. laricio Palib. ex Maire, 1928","2+"
"138844","Pinus nigra subsp. salzmannii (Dunal) Franco, 1943","Pinus nigra subsp. salzmannii (Dunal) Franco, 1943","2+"
"145855","Cyperus esculentus var. esculentus L., 1753","Cyperus esculentus var. esculentus L., 1753","3"
"145856","Cyperus esculentus var. heermannii (Buckley) Britton, 1886","Cyperus esculentus var. heermannii (Buckley) Britton, 1886","3"
"145857","Cyperus esculentus var. leptostachyus Boeckeler, 1870","Cyperus esculentus var. leptostachyus Boeckeler, 1870","3"
"145858","Cyperus esculentus var. macrostachyus Boeckeler, 1870","Cyperus esculentus var. macrostachyus Boeckeler, 1870","3"
"145859","Cyperus esculentus var. sativus Boeckeler, 1870","Cyperus esculentus var. sativus Boeckeler, 1870","3"
"718240","Juncus tenuis subsp. anthelatus (Wiegand) Verloove & Lambinon, 2011","Juncus tenuis subsp. anthelatus (Wiegand) Verloove & Lambinon, 2011","3"
"718241","Juncus tenuis subsp. dichotomus (Elliott) Verloove & Lambinon, 2011","Juncus tenuis subsp. dichotomus (Elliott) Verloove & Lambinon, 2011","3"
"136961","Juncus tenuis subsp. dudleyi (Wiegand) P.Fourn., 1935","Juncus tenuis subsp. dudleyi (Wiegand) P.Fourn., 1935","3"
"612142","Juncus tenuis subsp. tenuis Willd., 1799","Juncus tenuis subsp. tenuis Willd., 1799","3"
"888733","Arundinarieae Asch. & Graebn., 1902","Arundinarieae Asch. & Graebn., 1902","2 et 2+"
