"CD_NOM","LB_NOM"
998925,"Aconitum lycoctonum subsp. vulparia"
80037,"Aconitum napellus"
618651,"Aconitum napellus subsp. burnatii"
130784,"Aconitum napellus subsp. corsicum"
130787,"Aconitum napellus subsp. lusitanicum"
130788,"Aconitum napellus subsp. napellus"
130792,"Aconitum napellus subsp. vulgare"
80066,"Aconitum variegatum"
718205,"Aconitum variegatum nothosubsp. oenipontanum"
130802,"Aconitum variegatum subsp. paniculatum"
130803,"Aconitum variegatum subsp. pyrenaicum"
130805,"Aconitum variegatum subsp. valesiacum"
80073,"Aconitum x cammarum"
610740,"Aconitum x molle"
80082,"Aconitum x zahlbruckneri"
187428,"Acoraceae"
593946,"Acorales"
188769,"Acorus"
80086,"Acorus calamus"
188242,"Acrochaetiaceae"
188209,"Acrochaetiales"
349681,"Acrochaetium"
366057,"Acrochaetium alariae"
851065,"Acrochaetium armoricanum"
850734,"Acrochaetium boergesenii"
366064,"Acrochaetium cheminii"
366055,"Acrochaetium duboscqii"
77236,"Acrochaetium endozoicum"
366049,"Acrochaetium hauckii"
366056,"Acrochaetium humile"
366067,"Acrochaetium immersum"
627629,"Acrochaetium immersum f. polysiphoniae"
542709,"Acrochaetium irregulare"
627523,"Acrochaetium kuckuckianum"
627540,"Acrochaetium laminariae"
366063,"Acrochaetium lorrain-smithiae"
648615,"Acrochaetium mahumetanum"
627524,"Acrochaetium maluinum"
366104,"Acrochaetium mediterraneum"
366078,"Acrochaetium microscopicum"
366081,"Acrochaetium molinieri"
366082,"Acrochaetium moniliforme"
366102,"Acrochaetium parvulum"
627541,"Acrochaetium pusillum"
366089,"Acrochaetium reductum"
669527,"Acrochaetium rosulatum"
77238,"Acrochaetium secundatum"
932455,"Acrochaetium sparsum"
924610,"Acrochaetium spathoglossi"
648617,"Acrochaetium spermatochni"
366099,"Acrochaetium stilophorae"
366100,"Acrochaetium subpinnatum"
366101,"Acrochaetium subseriatum"
366105,"Acrochaetium unifilum"
353797,"Acrodiscus"
368859,"Acrodiscus vidovichii"
349683,"Acrosiphonia"
366118,"Acrosiphonia arcta"
366119,"Acrosiphonia arctiuscula"
72436,"Acrosiphonia spinescens"
354567,"Acrosorium"
542593,"Acrosorium ciliolatum"
351530,"Acrosymphytaceae"
830282,"Acrosymphytales"
357356,"Acrosymphyton"
378147,"Acrosymphyton purpuriferum"
354026,"Acrothamnion"
369355,"Acrothamnion preissii"
188786,"Actaea"
80137,"Actaea spicata"
188796,"Actinastrum"
653313,"Actinastrum aciculare"
73404,"Actinastrum hantzschii"
653314,"Actinastrum hantzschii var. subtile"
609584,"Actinidia"
80140,"Actinidia deliciosa"
703265,"Actinidiaceae"
976289,"Actinidioideae"
1030416,"Actinostroboideae"
188805,"Actinotaenium"
719920,"Actinotaenium capax"
719922,"Actinotaenium capax var. minus"
999292,"Actinotaenium clevei"
670118,"Actinotaenium colpopelta"
653283,"Actinotaenium cruciferum"
627011,"Actinotaenium cucurbita"
627012,"Actinotaenium cucurbitinum"
720029,"Actinotaenium cucurbitinum f. minus"
1019539,"Actinotaenium cucurbitinum var. longum"
894913,"Actinotaenium cucurbitinum var. minutum"
73409,"Actinotaenium curtum"
720953,"Actinotaenium curtum f. minus"
652714,"Actinotaenium didymocarpum"
627013,"Actinotaenium diplosporum"
652715,"Actinotaenium diplosporum f. majus"
652716,"Actinotaenium geniculatum"
648950,"Actinotaenium globosum"
648952,"Actinotaenium globosum f. minus"
652717,"Actinotaenium inconspicuum"
652718,"Actinotaenium inconspicuum var. curvatum"
652719,"Actinotaenium kriegeri"
652720,"Actinotaenium messikommeri"
835185,"Actinotaenium minutissimum"
652721,"Actinotaenium mooreanum"
652722,"Actinotaenium obcuneatum"
652723,"Actinotaenium palangula"
652724,"Actinotaenium perminutum"
73412,"Actinotaenium phymatosporum"
652725,"Actinotaenium pinicola"
652727,"Actinotaenium rufescens"
652729,"Actinotaenium silvae-nigrae"
652730,"Actinotaenium silvae-nigrae var. parallelum"
626979,"Actinotaenium spinospermum"
652731,"Actinotaenium subtile"
73413,"Actinotaenium truncatum"
652732,"Actinotaenium turgidum"
652734,"Actinotaenium wollei"
830338,"Acutodesmus"
1010474,"Acutodesmus acutiformis"
830339,"Acutodesmus raciborskii"
188405,"Adelanthaceae"
188813,"Adelanthus"
188818,"Adenocarpus"
80155,"Adenocarpus complicatus"
130820,"Adenocarpus complicatus subsp. complicatus"
612383,"Adenocarpus complicatus subsp. complicatus x Adenocarpus complicatus subsp. parvifolius"
130823,"Adenocarpus complicatus subsp. parvifolius"
80162,"Adenocarpus telonensis"
188820,"Adenostyles"
80183,"Adenostyles alliariae"
80184,"Adenostyles alpina"
130834,"Adenostyles alpina subsp. alpina"
130835,"Adenostyles alpina subsp. briquetii"
718206,"Adenostyles alpina subsp. pyrenaica"
80190,"Adenostyles leucophylla"
80194,"Adenostyles x canescens"
80195,"Adenostyles x eginensis"
80196,"Adenostyles x intermedia"
188823,"Adiantum"
447951,"Adiantum capillus-veneris"
447953,"Adiantum raddianum"
974959,"Adonideae"
188828,"Adonis"
80211,"Adonis aestivalis"
80212,"Adonis annua"
80223,"Adonis dentata"
80224,"Adonis flammea"
80232,"Adonis microcarpa"
80238,"Adonis pyrenaica"
80240,"Adonis vernalis"
188829,"Adoxa"
80243,"Adoxa moschatellina"
850835,"Aegagropila"
850836,"Aegagropila linnaei"
188834,"Aegilops"
80263,"Aegilops biuncialis"
718298,"Aegilops biuncialis subsp. biuncialis"
159514,"Aegilops caudata"
610755,"Aegilops columnaris"
610756,"Aegilops crassa"
80270,"Aegilops cylindrica"
80278,"Aegilops geniculata"
80282,"Aegilops juvenalis"
80288,"Aegilops neglecta"
80297,"Aegilops speltoides"
955741,"Aegilops speltoides subsp. speltoides"
80302,"Aegilops triuncialis"
160336,"Aegilops triuncialis subsp. triuncialis"
80304,"Aegilops ventricosa"
610609,"Aegokeras caespitosa"
938207,"Aegonychon"
80317,"Aegonychon purpurocaeruleum"
188841,"Aegopodium"
80322,"Aegopodium podagraria"
888809,"Aeluropodinae"
188845,"Aeluropus"
80329,"Aeluropus littoralis"
972545,"Aeonieae"
188851,"Aeonium"
80331,"Aeonium arboreum"
610758,"Aeonium cuneatum"
80332,"Aeonium haworthii"
188856,"Aesculus"
80338,"Aesculus carnea"
610760,"Aesculus flava"
80334,"Aesculus hippocastanum"
610759,"Aesculus parviflora"
80335,"Aesculus pavia"
188860,"Aethionema"
80347,"Aethionema monospermum"
80350,"Aethionema saxatile"
80351,"Aethionema thomasianum"
188862,"Aethusa"
80358,"Aethusa cynapium"
130873,"Aethusa cynapium subsp. cynapium"
611902,"Aethusa cynapium subsp. elata"
599142,"Agapanthoideae"
188867,"Agapanthus"
80371,"Agapanthus africanus"
80372,"Agapanthus campanulatus"
80373,"Agapanthus inapertus"
154683,"Agapanthus inapertus subsp. pendulus"
611775,"Agapanthus praecox"
213035,"Agardhiella"
388218,"Agardhiella subulata"
943106,"Agarophyton"
943107,"Agarophyton vermiculophyllum"
788759,"Agastache"
1019554,"Agastache aurantiaca"
1019557,"Agastache foeniculum"
788815,"Agastache rugosa"
188872,"Agave"
80383,"Agave americana"
707255,"Agave americana subsp. americana"
610761,"Agave bracteosa"
629039,"Agave fourcroydes"
610762,"Agave salmiana"
913697,"Agaveae"
599222,"Agavoideae"
188877,"Ageratina"
80387,"Ageratina adenophora"
920109,"Ageratinae"
188878,"Ageratum"
445438,"Ageratum conyzoides"
80390,"Ageratum houstonianum"
1009626,"Agissea"
1009632,"Agissea harveyana"
1009627,"Agissea inamoena"
1019162,"Agissea orientalis"
1009631,"Agissea stoechas"
349600,"Aglaothamnion"
365624,"Aglaothamnion bipinnatum"
365622,"Aglaothamnion caudatum"
627510,"Aglaothamnion chadefaudii"
365614,"Aglaothamnion cordatum"
365620,"Aglaothamnion diaphanum"
365626,"Aglaothamnion fasciculatum"
365621,"Aglaothamnion feldmanniae"
627511,"Aglaothamnion gaillonii"
365619,"Aglaothamnion priceanum"
365616,"Aglaothamnion pseudobyssoides"
652736,"Aglaothamnion rabenhorstii"
388751,"Aglaothamnion scopulorum"
365615,"Aglaothamnion tenuissimum"
627608,"Aglaothamnion tenuissimum var. mazoyerae"
72449,"Aglaothamnion tripinnatum"
188897,"Agrimonia"
80410,"Agrimonia eupatoria"
130876,"Agrimonia eupatoria subsp. eupatoria"
130877,"Agrimonia eupatoria subsp. grandis"
80417,"Agrimonia procera"
717053,"Agrimonia repens"
80424,"Agrimonia x wirtgenii"
974809,"Agrimonieae"
974810,"Agrimoniinae"
188907,"Agropyron"
80446,"Agropyron cristatum"
130885,"Agropyron cristatum subsp. pectinatum"
188908,"Agrostemma"
80546,"Agrostemma githago"
610787,"Agrostemma gracile"
973636,"Agrostidinae"
188909,"Agrostis"
80564,"Agrostis alpina"
80590,"Agrostis canina"
130945,"Agrostis canina subsp. canina"
613139,"Agrostis canina var. canina"
718632,"Agrostis canina var. opulenta"
80591,"Agrostis capillaris"
613447,"Agrostis capillaris var. alpigena"
130953,"Agrostis capillaris var. capillaris"
80593,"Agrostis castellana"
718633,"Agrostis castellana var. castellana"
621655,"Agrostis castellana var. mutica"
80605,"Agrostis curtisii"
80639,"Agrostis gigantea"
80645,"Agrostis hesperica"
80650,"Agrostis hyemalis"
610789,"Agrostis marysae-tortiae"
610790,"Agrostis montevidensis"
80729,"Agrostis rupestris"
613452,"Agrostis rupestris var. alpinoides"
142920,"Agrostis rupestris var. pyrenaica"
613160,"Agrostis rupestris var. rupestris"
80735,"Agrostis scabra"
80739,"Agrostis schleicheri"
80741,"Agrostis schraderiana"
80759,"Agrostis stolonifera"
613631,"Agrostis stolonifera var. arenaria"
142987,"Agrostis stolonifera var. stolonifera"
80798,"Agrostis vinealis"
612384,"Agrostis vinealis subsp. ericetorum"
612385,"Agrostis vinealis subsp. vinealis"
80808,"Agrostis x bjoerkmanii"
80809,"Agrostis x castriferrei"
610794,"Agrostis x fouilladeana"
610791,"Agrostis x gigantifera"
80811,"Agrostis x hackelii"
80819,"Agrostis x murbeckii"
80821,"Agrostis x sanionis"
610788,"Agrostis x stebleri"
610792,"Agrostis x torgesii"
349685,"Ahnfeltia"
72455,"Ahnfeltia plicata"
188248,"Ahnfeltiaceae"
188212,"Ahnfeltiales"
525448,"Ahnfeltiophycidae"
349646,"Ahnfeltiopsis"
72457,"Ahnfeltiopsis devoniensis"
627483,"Ahnfeltiopsis flabelliformis"
850892,"Ahnfeltiopsis pusilla"
972546,"Aichryson"
1037589,"Aichryson laxum"
894779,"Ailantheae"
188912,"Ailanthus"
80824,"Ailanthus altissima"
188915,"Aira"
80846,"Aira armoricana"
80857,"Aira caryophyllea"
80864,"Aira cupaniana"
80871,"Aira elegantissima"
80902,"Aira multiculmis"
80911,"Aira praecox"
80912,"Aira provincialis"
80923,"Aira tenorei"
973662,"Airinae"
188917,"Airopsis"
971406,"Airopsis tenella"
187280,"Aizoaceae"
188919,"Ajuga"
80978,"Ajuga chamaepitys"
80980,"Ajuga genevensis"
80983,"Ajuga iva"
80988,"Ajuga pyramidalis"
80990,"Ajuga reptans"
80998,"Ajuga x hybrida"
81000,"Ajuga x pseudopyramidalis"
1027378,"Ajugeae"
851832,"Ajugoideae"
188920,"Akebia"
81001,"Akebia quinata"
188931,"Albizia"
447347,"Albizia julibrissin"
188937,"Alcea"
81019,"Alcea biennis"
1015581,"Alcea biennis x Alcea rosea"
81023,"Alcea rosea"
188940,"Alchemilla"
81027,"Alchemilla acutiloba"
81032,"Alchemilla alpigena"
81033,"Alchemilla alpina"
81034,"Alchemilla amphibola"
81035,"Alchemilla amphisericea"
81045,"Alchemilla benasquensis"
81046,"Alchemilla borderei"
81055,"Alchemilla colorata"
81057,"Alchemilla conjuncta"
81058,"Alchemilla connivens"
717055,"Alchemilla controversa"
81059,"Alchemilla coriacea"
81063,"Alchemilla crinita"
81065,"Alchemilla decumbens"
81068,"Alchemilla demissa"
610822,"Alchemilla diluta"
81072,"Alchemilla fallax"
81073,"Alchemilla filicaulis"
81075,"Alchemilla fissa"
81076,"Alchemilla flabellata"
81079,"Alchemilla flexicaulis"
81083,"Alchemilla frigens"
81086,"Alchemilla fulgens"
81088,"Alchemilla glabra"
717719,"Alchemilla glacialis"
717720,"Alchemilla glacialis x Alchemilla pentaphyllea"
81091,"Alchemilla glaucescens"
81092,"Alchemilla glomerulans"
81095,"Alchemilla grenieri"
81096,"Alchemilla grossidens"
81097,"Alchemilla heteropoda"
81098,"Alchemilla hoppeana"
81101,"Alchemilla hybrida"
81104,"Alchemilla incisa"
788896,"Alchemilla jaquetiana"
81117,"Alchemilla leptoclada"
610820,"Alchemilla mollis"
81130,"Alchemilla monticola"
717061,"Alchemilla montserratii"
717062,"Alchemilla nafarroana"
717063,"Alchemilla obscura"
717064,"Alchemilla ozana"
81137,"Alchemilla pallens"
81140,"Alchemilla pentaphyllea"
717721,"Alchemilla petiolulans"
81142,"Alchemilla plicata"
717065,"Alchemilla polatschekiana"
717066,"Alchemilla propinqua"
892219,"Alchemilla reflexa"
81153,"Alchemilla reniformis"
81159,"Alchemilla saxatilis"
81161,"Alchemilla schmidelyana"
610821,"Alchemilla speciosa"
81166,"Alchemilla splendens"
608142,"Alchemilla strigosula"
81170,"Alchemilla subcrenata"
717722,"Alchemilla subglobosa"
81171,"Alchemilla subsericea"
81179,"Alchemilla transiens"
81182,"Alchemilla trunciloba"
81190,"Alchemilla vetteri"
81193,"Alchemilla x cuneata"
81195,"Alchemilla xanthochlora"
974803,"Alchemillinae"
967568,"Alhagi"
967569,"Alhagi maurorum"
188962,"Alisma"
81260,"Alisma gramineum"
81263,"Alisma lanceolatum"
81272,"Alisma plantago-aquatica"
81280,"Alisma x rhicnocarpum"
187450,"Alismataceae"
522745,"Alismatales"
188963,"Alkanna"
161879,"Alkanna lutea"
81287,"Alkanna matthioli"
786241,"Alleniella"
786408,"Alleniella besseri"
786495,"Alleniella complanata"
188969,"Alliaria"
81295,"Alliaria petiolata"
599162,"Allieae"
454892,"Allioideae"
188971,"Allium"
81297,"Allium acutiflorum"
81313,"Allium ampeloprasum"
81316,"Allium angulosum"
717723,"Allium atroviolaceum x Allium polyanthum"
81336,"Allium carinatum"
81339,"Allium cepa"
446104,"Allium cepa var. aggregatum"
446105,"Allium cepa var. cepa"
81341,"Allium chamaemoly"
81347,"Allium coloratum"
81350,"Allium commutatum"
610832,"Allium commutatum x Allium porrum"
81355,"Allium consimile"
81359,"Allium corsicum"
610829,"Allium cyrilli"
81369,"Allium ericetorum"
81373,"Allium fistulosum"
81376,"Allium flavum"
81378,"Allium flexum"
923594,"Allium longispathum"
81423,"Allium lusitanicum"
81433,"Allium moly"
81439,"Allium moschatum"
81440,"Allium multibulbosum"
81443,"Allium narcissiflorum"
81445,"Allium neapolitanum"
81449,"Allium nigrum"
610831,"Allium obtusiflorum"
81457,"Allium oleraceum"
610830,"Allium oleraceum x Allium oporinanthum"
81459,"Allium oporinanthum"
81460,"Allium oschaninii"
81463,"Allium pallens"
161532,"Allium paradoxum"
81468,"Allium parciflorum"
81473,"Allium pendulinum"
81479,"Allium polyanthum"
81483,"Allium porrum"
81499,"Allium roseum"
1041095,"Allium roseum subsp. insulare"
143266,"Allium roseum subsp. roseum"
81501,"Allium rotundum"
81505,"Allium sativum"
81506,"Allium savii"
81507,"Allium scaberrimum"
81508,"Allium schoenoprasum"
