"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Ononis pusilla L.";"Bugrane nain";"Ononis pusilla L., 1759";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"110221"
"";"Ophrys fusca Link";"Ophrys brun";"Ophrys fusca Link, 1800";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"110395"
"";"Ophrys insectifera L.";"Ophrys mouche";"Ophrys insectifera L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"110410"
"";"Ophrys scolopax Cav.";"Ophrys bécasse";"Ophrys scolopax Cav., 1793 subsp. scolopax";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"138327"
"";"Ophrys scolopax Cav.";"Ophrys bécasse";"Ophrys scolopax subsp. apiformis (Desf.) Maire & Weiller, 1959";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"718260"
"";"Ophrys scolopax Cav.";"Ophrys bécasse";"Ophrys scolopax Cav., 1793";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"110468"
"";"Orchis militaris L.";"Casque militaire";"Orchis militaris L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"110920"
"";"Orchis pallens L.";"Orchis pâle";"Orchis pallens L., 1771";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"110945"
"";"Orchis simia Lam.";"Orchis singe";"Orchis simia Lam., 1779";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"110987"
"";"Orobanche arenaria Borkh.";"Orobanche des sables";"Phelipanche arenaria (Borkh.) Pomel, 1874";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"113090"
"";"Paraceterach marantae (L.) R.M. Tryon";"Doradille de Maranta";"Paragymnopteris marantae (L.) K.H.Shing, 1994 subsp. marantae";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"612658"
"";"Paraceterach marantae (L.) R.M. Tryon";"Doradille de Maranta";"Paragymnopteris marantae (L.) K.H.Shing, 1994";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"610859"
"";"Paradisia liliastrum Bertol";"Lis des Alpes";"Paradisea liliastrum (L.) Bertol., 1840";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"112391"
"";"Pedicularis verticillata L.";"Pédiculaire verticillée";"Pedicularis verticillata L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"112604"
"";"Pinguicula grandiflora Lam.";"Grassette à grandes fleurs";"Pinguicula grandiflora Lam., 1789";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"113620"
"";"Pinguicula lusitanica L.";"Grassette du Portugal";"Pinguicula lusitanica L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"113626"
"";"Plantago maritima L.";"Plantain maritime";"Plantago maritima L., 1753 subsp. maritima";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"138907"
"";"Plantago maritima L.";"Plantain maritime";"Plantago maritima subsp. serpentina (All.) Arcang., 1882";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"138908"
"";"Plantago maritima L.";"Plantain maritime";"Plantago maritima L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"113905"
"";"Potamogeton praelongus Wulf.";"Potamot allongé";"Potamogeton praelongus Wulfen, 1805";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"115302"
"";"Potentilla rupestris L.";"Potentille des rochers";"Drymocallis rupestris (L.) Soják, 1989";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"95462"
"";"Pulsatilla alpina (L.) Delarbre ssp. apiifolia (Scop.) Nyman";"Anémone soufrée";"Pulsatilla alpina subsp. apiifolia (Scop.) Nyman, 1878";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"139513"
"";"Pulsatilla vernalis (L.) Miller";"Anémone printanière";"Pulsatilla vernalis (L.) Mill., 1768";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"116459"
"";"Rhynchospora fusca (L.) Aiton fil.";"Rhynchospore brune";"Rhynchospora fusca (L.) W.T.Aiton, 1810";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"117732"
"";"Sagittaria sagittifolia L.";"Sagittaire à feuilles en cœur";"Sagittaria sagittifolia L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"119860"
"";"Salix bicolor Willd.";"Saule bicolore";"Salix bicolor Willd., 1796";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"119959"
"";"Salix herbacea L.";"Saule herbacé";"Salix herbacea L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"120057"
"";"Saxifraga androsacea L.";"Saxifrage androsace";"Saxifraga androsacea L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"120973"
"";"Saxifraga bryoides L. var. arvernica Chassagne";"Saxifrage d'Auverge";"Saxifraga bryoides L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"120988"
"";"Saxifraga moschata Wulfen ssp. lamottei Luizet";"Saxifrage de Lamotte";"Saxifraga lamottei Luizet, 1913";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"121096"
"";"Saxifraga oppositifolia L.";"Saxifrage à feuilles opposées";"Saxifraga oppositifolia L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"121132"
"";"Sempervivum tectorum L. var. arvernense Lecoq et Lamotte";"Joubarbe d'Auvergne";"Sempervivum tectorum L., 1753 subsp. tectorum";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"140929"
"";"Senecio leucophyllus DC.";"Herbe du Mézenc";"Jacobaea leucophylla (DC.) Pelser, 2006";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"610647"
"";"Sesamoides pygmaea (Scheele) O. Kuntze ssp. pygmea";"Faux sésame";"Sesamoides pygmaea (Scheele) Kuntze, 1891";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"122989"
"";"Silene ciliata Pourret";"Silène cilié";"Silene ciliata Pourr., 1788";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"123438"
"";"Soldanella alpina L.";"Soldanelle des Alpes";"Soldanella alpina L., 1753 subsp. alpina";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"141285"
"";"Soldanella alpina L.";"Soldanelle des Alpes";"Soldanella alpina L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"124139"
"";"Spergularia media (L.) C. Presl";"Spergulaire marginée";"Spergularia media (L.) C.Presl, 1826";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"124572"
"";"Stachys heraclea All.";"Epiaire d'Héraclé";"Stachys heraclea All., 1785";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"124775"
"";"Streptopus amplexifolius (L.) DC.";"Sceau de Salomon rameux";"Streptopus amplexifolius (L.) DC., 1805";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"125226"
"";"Swertia perennis L.";"Swertie vivace";"Swertia perennis L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"125319"
"";"Taraxacum bessarabicum (Hornem.) Hand-Mazz.";"Pissenlit de Bessarabie";"Taraxacum bessarabicum (Hornem.) Hand.-Mazz., 1907";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"125519"
"";"Tozzia alpina L.";"Tozzie des Alpes";"Tozzia alpina L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"126925"
"";"Traunsteinera globosa (L.) Reichenb.";"Orchis globuleux";"Traunsteinera globosa (L.) Rchb., 1842";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"127117"
"";"Trifolium pallescens Schreber ssp. arvernense Lamotte";"Trèfle pâle d'Auvergne";"Trifolium pallescens Schreb., 1804";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"127419"
"";"Triglochin maritima L.";"Troscart maritime";"Triglochin maritima L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"127546"
"";"Trigonella monspeliaca L.";"Trigonelle de Montpellier";"Medicago monspeliaca (L.) Trautv., 1841";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"107662"
"";"Ulmus laevis Pallas";"Orme lisse";"Ulmus laevis Pall., 1784";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"128171"
"";"Vaccinium microcarpum (Turcz ex Rupr.) Schmalh.";"Canneberge à petits fruits";"Vaccinium microcarpum (Turcz. ex Rupr.) Schmalh., 1871";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"128343"
"";"Vaccinium oxycoccos L.";"Canneberge à gros fruits";"Vaccinium oxycoccos L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"128347"
"";"Veronica spicata L.";"Véronique en épi";"Veronica spicata L., 1753 subsp. spicata";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"142170"
"";"Veronica spicata L.";"Véronique en épi";"Veronica spicata L., 1753";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"129007"
"";"Woodsia alpina (Bolton) S.F. Gray";"Woodsie des Alpes";"Woodsia alpina (Bolton) Gray, 1821";"Liste des espèces végétales protégées en région Auvergne";"Arrêté interministériel du 30 mars 1990 relatif à la liste des espèces végétales protégées en région Auvergne complétant la liste nationale";"Article 1";"130124"
