"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Calamagrostis canescens (Weber) Roth.";"Calamagrostide blanchâtre";"Calamagrostis canescens (Weber) Roth, 1789";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"87218"
"";"Cardamine asarifolia L.";"Cardamine à feuilles d'Asaret";"Cardamine asarifolia L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"87897"
"";"Cardamine plumieri Villars";"Cardamine de Plumier";"Cardamine plumieri Vill., 1779";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"87963"
"";"Carex appropinquata Schumacher";"Laiche paradoxale";"Carex appropinquata Schumach., 1801";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"88344"
"";"Carex bohemica Schreber";"Laiche de Bohème";"Carex bohemica Schreb., 1772";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"88387"
"";"Carex brevicollis DC.";"Laiche à bec court";"Carex brevicollis DC., 1815";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"88391"
"";"Carex depauperata Curtis ex With.";"Laiche appauvrie";"Carex depauperata Curtis ex With., 1787";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"88465"
"";"Carex diandra Schrank";"Laiche à deux étamines";"Carex diandra Schrank, 1781";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 3";"88468"
"";"Carex diandra Schrank";"Laiche arrondie";"Carex diandra Schrank, 1781";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 4";"88468"
"";"Carex fimbriata Schkuhr";"Laiche fimbriée";"Carex fimbriata Schkuhr, 1806";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"88508"
"";"Carex lachenalii Schkuhr";"Laiche de Lachenal";"Carex lachenalii Schkuhr, 1801 subsp. lachenalii";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"612426"
"";"Carex lachenalii Schkuhr";"Laiche de Lachenal";"Carex lachenalii Schkuhr, 1801 [nom. cons.]";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"88606"
"";"Carex lasiocarpa Ehrh.";"Laiche à fruit velu";"Carex lasiocarpa Ehrh., 1784 subsp. lasiocarpa";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"960921"
"";"Carex lasiocarpa Ehrh.";"Laiche à fruit velu";"Carex lasiocarpa Ehrh., 1784";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"88614"
"";"Carex maritima Gunnerus";"Laiche maritime";"Carex maritima Gunnerus, 1772";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"88662"
"";"Carex melanostachya Bieb. ex Willd.";"Laiche à épi noir";"Carex melanostachya M.Bieb. ex Willd., 1805";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"88669"
"";"Carex pauciflora Lighft.";"Laiche pauciflore";"Carex pauciflora Lightf., 1777";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"88762"
"";"Carex pseudocyperus L.";"Laiche faux souchet";"Carex pseudocyperus L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 2";"88794"
"";"Carex pseudocyperus L.";"Laiche faux souchet";"Carex pseudocyperus L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 5";"88794"
"";"Carpesium cernuum L.";"Carpésium penché";"Carpesium cernuum L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"89195"
"";"Cerinthe glabra Miller ssp. glabra";"Melinet glabre";"Cerinthe glabra Mill., 1768 subsp. glabra";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 3";"133172"
"";"Chamaespartium saggitale (L.) P. Gibbs ssp. delphinense Verlot";"Genêt ailé du Dauphiné";"Genista delphinensis Verl., 1872";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"99741"
"";"Chamorchis alpina L.C.M. Richard";"Orchis nain des Alpes";"Chamorchis alpina (L.) Rich., 1817";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"90561"
"";"Cicendia filiformis (L.) Delarbre";"Cicendie filiforme";"Cicendia filiformis (L.) Delarbre, 1800";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"91132"
"";"Cirsium erisithales (Jacq.) Scop.";"Cirse érisithale";"Cirsium erisithales (Jacq.) Scop., 1769";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 4";"91328"
"";"Cirsium helenioides (L.) Hill";"Cirse faux hélénium";"Cirsium heterophyllum (L.) Hill, 1768";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"91346"
"";"Cirsium monspessulanum (L.) Hill";"Cirse de Montpellier";"Cirsium monspessulanum (L.) Hill, 1768 subsp. monspessulanum";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"133332"
