"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Gentiana pneumonanthe L.";"Gentiane pneumonanthe";"Gentiana pneumonanthe L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 5";"99922"
"";"Gymnadenia odoratissima (L.) L.C.M. Richard";"Gymnadenie odorante";"Gymnadenia odoratissima (L.) Rich., 1817";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"100614"
"";"Herminium monorchis (L.) R. Br.";"Herminium à un bulbe";"Herminium monorchis (L.) R.Br., 1813";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"101315"
"";"Himantoglossum hircinum (L.) Sprengel";"Orchis bouc";"Himantoglossum hircinum (L.) Spreng., 1826";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 4";"102797"
"";"Horminum pyrenaicum L.";"Hormin des Pyrénées";"Horminum pyrenaicum L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"103012"
"";"Hottonia palustris L.";"Hottonie des marais";"Hottonia palustris L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"103027"
"";"Huperzia selago (L.) Schrank & C.F.P. Mart.";"Lycopode sélagine";"Huperzia selago (L.) Bernh. ex Schrank & Mart., 1829 subsp. selago";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 4";"136696"
"";"Huperzia selago (L.) Schrank & C.F.P. Mart.";"Lycopode sélagine";"Huperzia selago (L.) Bernh. ex Schrank & Mart., 1829";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 4";"103034"
"";"Hyacinthoides italica (L.) Rothm.";"Scille d'Italie";"Hyacinthoides italica (L.) Rothm., 1944";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"103056"
"";"Hydrocharis morsus ranae L.";"Hydrocharis morène";"Hydrocharis morsus-ranae L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"103120"
"";"Hydrocotyle vulgaris L.";"Ecuelle d'eau";"Hydrocotyle vulgaris L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"103142"
"";"Hymenolobus procumbens (L.) Nutt ex Torrey & Gray";"Capselle couchée";"Hornungia procumbens (L.) Hayek, 1925";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"103020"
"";"Hypericum androsaemum L.";"Millepertuis Androsème";"Hypericum androsaemum L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"103245"
"";"Iberis intermedia Guersent ssp. timeroyi (Jordan) Rouy & Fouc.";"Iberis de Timeroy";"Iberis timeroyi Jord., 1847";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"103501"
"";"Illecebrum verticillatum L.";"Illécèbre verticillé";"Illecebrum verticillatum L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"103536"
"";"Inula britannica L.";"Inule d'Angleterre";"Inula britannica L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"103598"
"";"Inula helvetica Weber";"Inule de Suisse";"Inula helvetica Weber, 1784";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"103628"
"";"Iris lutescens Lam. ssp. lutescens";"Iris nain";"Iris lutescens Lam., 1789 subsp. lutescens";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"136857"
"";"Juncus anceps Laharpe";"Jonc aplati";"Juncus anceps Laharpe, 1827";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"104115"
"";"Juncus arcticus Willd.";"Jonc arctique";"Juncus arcticus Willd., 1799";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"104123"
"";"Juniperus thurifera L.";"Genévrier thurifère";"Juniperus thurifera L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"104419"
"";"Knautia godetii Reuter";"Knautie de Godet";"Knautia godetii Reut., 1857";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"104532"
"";"Kobresia simpliciuscula (Wahlenb.) Makensie";"Kobresie simple";"Carex simpliciuscula Wahlenb., 1803";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"88871"
"";"Kochia laniflora (S.G. Gmelin) Bordas";"Kochia à fleurs laineuses";"Bassia laniflora (S.G.Gmel.) A.J.Scott, 1978";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"85628"
"";"Koeleria cenisia Reuter ex Reverchon";"Koelerie du Mont Cenis";"Koeleria cenisia Reut. ex E.Rev., 1873";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"104613"
"";"Lappula deflexa (Wahlenb.) Gur.";"Bardanette réfléchie";"Hackelia deflexa (Wahlenb.) Opiz, 1838";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"100702"
"";"Laserpitium prutenicum L.";"Laser de Prusse";"Laserpitium prutenicum L., 1753 subsp. prutenicum";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"137107"
"";"Laserpitium prutenicum L.";"Laser de Prusse";"Laserpitium prutenicum subsp. dufourianum (Rouy & E.G.Camus) Braun-Blanq., 1929";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"137106"
"";"Laserpitium prutenicum L.";"Laser de Prusse";"Laserpitium prutenicum L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"105086"
"";"Lathyrus palustris L.";"Gesse des marais";"Lathyrus palustris L., 1753 subsp. palustris";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"137139"
"";"Lathyrus palustris L.";"Gesse des marais";"Lathyrus palustris L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"105239"
"";"Lemna trisulca L.";"Lentille d'eau à trois sillons";"Lemna trisulca L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 5";"105441"
"";"Leonurus cardiaca L.";"Agripaume cardiaque";"Leonurus cardiaca L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"105548"
"";"Limosella aquatica L.";"Limoselle aquatique";"Limosella aquatica L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"106128"
"";"Lindernia procumbens (Krocker) Philcox";"Lindernie couchée";"Lindernia procumbens (Krock.) Philcox, 1965";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"106258"
"";"Litorella uniflora (L.) Ascherson";"Litorelle à une fleur";"Littorella uniflora (L.) Asch., 1864";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"106419"
"";"Logfia minima (Sm.) Dumort.";"Cotonnière naine";"Logfia minima (Sm.) Dumort., 1827";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 5";"106451"
"";"Ludwigia palustris (L.) Elliot";"Isnardie des marais";"Ludwigia palustris (L.) Elliott, 1817";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"106747"
"";"Lychnis alpina L.";"Lychnis des Alpes";"Viscaria alpina (L.) G.Don, 1831";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"129898"
"";"Lycopodium clavatum L.";"Lycopode en massue";"Lycopodium clavatum L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 4";"107003"
"";"Lythrum hyssopifolia L.";"Lythrum à feuilles d'Hysope";"Lythrum hyssopifolia L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"107106"
"";"Matthiola fruticulosa (L.) Maire ssp. valesiaca (Gay ex Gaudin) P.W. Ball";"Matthiole buissonnante du Valais";"Matthiola valesiaca J.Gay ex Boiss., 1867";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"107509"
"";"Meconopsis cambrica (L.) Vig.";"Pavot du Pays de Galle";"Papaver cambricum L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"112293"
"";"Minuartia laricifolia (L.) Schinz & Thell. ssp. diomedis";"Minuartie à feuilles de Mélèze, sous-espèce de Diomède";"Cherleria laricifolia subsp. diomedis (Braun-Blanq.) A.J.Moore & Dillenb., 2017";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"1000311"
"";"Moneses uniflora (L.) A. Gray";"Pyrole uniflore, Pyrole à une fleur";"Moneses uniflora (L.) A.Gray, 1848";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 2";"108755"
"";"Moneses uniflora (L.) A. Gray";"Pyrole à une fleur";"Moneses uniflora (L.) A.Gray, 1848";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 4";"108755"
"";"Myosotis balbisiana Jordan.";"Myosotis de Balbis";"Myosotis balbisiana Jord., 1852";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"109001"
"";"Najas marina L.";"Naïade marine";"Najas marina L., 1753 subsp. marina";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"137968"
"";"Najas marina L.";"Naïade marine";"Najas marina subsp. armata (H.Lindb.) Horn, 1952";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"137965"
"";"Najas marina L.";"Naïade marine";"Najas marina subsp. intermedia (Wolfg. ex Gorski) Casper, 1979";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"137966"
"";"Najas marina L.";"Naïade marine";"Najas marina L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"109213"
"";"Najas minor All.";"Petite Naïade";"Najas minor All., 1773";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"109215"
"";"Oenanthe fistulosa L.";"Oenanthe fistuleuse";"Oenanthe fistulosa L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"109869"
"";"Oenanthe silaifolia Bieb.";"Oenanthe à feuilles de Silaum";"Oenanthe silaifolia M.Bieb., 1819";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"109898"
"";"Omphalodes linifolia (L.) Moench";"Omphalodes à feuilles de lin";"Iberodes linifolia (L.) M.Serrano, R.Carbajal & S.Ortiz, 2016";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"983577"
"";"Onobrychis arenaria (Kit.) DC.";"Sainfoin des sables";"Onobrychis arenaria (Kit. ex Willd.) DC., 1825 subsp. arenaria";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"138166"
"";"Onobrychis arenaria (Kit.) DC.";"Sainfoin des sables";"Onobrychis arenaria (Kit. ex Willd.) DC., 1825";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"110108"
"";"Ophioglossum vulgatum L.";"Langue de serpent";"Ophioglossum vulgatum L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"110313"
"";"Orchis laxiflora Lam.";"Orchis à fleurs lâches";"Anacamptis laxiflora (Lam.) R.M.Bateman, Pridgeon & M.W.Chase, 1997";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"82283"
"";"Orchis tridentata Scop.";"Orchis à trois dents";"Neotinea tridentata (Scop.) R.M.Bateman, Pridgeon & M.W.Chase, 1997";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"162206"
"";"Ornithogalum nutans L.";"Ornithogale penchée";"Honorius nutans (Sm.) Gray, 1821";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"102930"
"";"Orobanche alsatica Kirschleger";"Orobanche d'Alsace";"Orobanche alsatica Kirschl., 1836";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"111452"
"";"Orobanche arenaria Borkh";"Orobanche des sables";"Phelipanche arenaria (Borkh.) Pomel, 1874";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"113090"
"";"Osmunda regalis L.";"Osmonde royale";"Osmunda regalis L., 1753 var. regalis";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 2";"970784"
"";"Osmunda regalis L.";"Osmonde royale";"Osmunda regalis L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 2";"111815"
"";"Oxytropis foetida (Vill.) DC.";"Astragale foetide";"Oxytropis fetida (Vill.) DC., 1802";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"111976"
"";"Peucedanum carvifolia Vill.";"Peucédan à feuille de Carvi";"Dichoropetalum carvifolia (Vill.) Pimenov & Kljuykov, 2007";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"717749"
"";"Peucedanum officinale L.";"Peucédan officinal";"Peucedanum officinale L., 1753 subsp. officinale";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"138667"
"";"Peucedanum officinale L.";"Peucédan officinal";"Peucedanum officinale L., 1753 var. officinale";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"613154"
"";"Peucedanum officinale L.";"Peucédan officinal";"Peucedanum officinale var. catalaunicum (Pau) Reduron, 2008";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"613558"
"";"Peucedanum officinale L.";"Peucédan officinal";"Peucedanum officinale L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"112868"
"";"Peucedanum palustre (L.) Moench";"Peucédan des marais";"Thysselinum palustre (L.) Hoffm., 1814";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"126615"
"";"Phyteuma charmelii Villars";"Raiponce de Charmeil";"Phyteuma charmelii Vill., 1787";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"113367"
"";"Pinguicula grandiflora Lam.";"Grassette à grandes fleurs";"Pinguicula grandiflora Lam., 1789";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"113620"
"";"Poa glauca Vahl.";"Paturin glauque";"Poa glauca Vahl, 1790";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"114226"
"";"Poa palustris L.";"Paturin des marais";"Poa palustris L., 1759";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"114312"
"";"Potamogeton acutifolius Link";"Potamot à feuilles pointues";"Potamogeton acutifolius Link, 1818";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"115226"
"";"Potamogeton alpinus Balb.";"Potamot des Alpes";"Potamogeton alpinus Balb., 1804";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"115228"
"";"Potamogeton filiformis Pers.";"Potamot filiforme";"Stuckenia filiformis (Pers.) Börner, 1912";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"717572"
"";"Potamogeton praelongus Wulfen";"Potamot allongé";"Potamogeton praelongus Wulfen, 1805";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"115302"
"";"Potentilla nivea L.";"Potentille blanche";"Potentilla nivea L., 1753 [nom. et typ. cons.]";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"115574"
"";"Pulsatilla rubra (Lam.) Delarbre";"Pulsatille rouge";"Pulsatilla rubra (Lam.) Delarbre, 1800 var. rubra";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"150342"
"";"Pulsatilla rubra (Lam.) Delarbre";"Pulsatille rouge";"Pulsatilla rubra var. serotina (H.J.Coste) Aichele & Schwegler, 1957";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"150343"
"";"Pulsatilla rubra (Lam.) Delarbre";"Pulsatille rouge";"Pulsatilla rubra (Lam.) Delarbre, 1800";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"116456"
"";"Pyrola chlorantha Swartz";"Pyrole verdâtre";"Pyrola chlorantha Sw., 1810";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"116531"
"";"Pyrola media Swartz";"Pyrole intermédiaire";"Pyrola media Sw., 1804";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"116542"
"";"Ranunculus gramineus L.";"Renoncule à feuilles de graminée";"Ranunculus gramineus L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 2";"117049"
"";"Ranunculus sceleratus L.";"Renoncule scélérate";"Ranunculus sceleratus L., 1753 subsp. sceleratus";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"139802"
"";"Ranunculus sceleratus L.";"Renoncule scélérate";"Ranunculus sceleratus L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"117224"
"";"Reseda jacquinii Reichenb.";"Réséda de Jacquin";"Reseda jacquinii Rchb., 1824";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"117452"
"";"Rhynchospora alba (L.) Vahl.";"Rhynchospore blanc";"Rhynchospora alba (L.) Vahl, 1805";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"117731"
"";"Rumex maritimus L.";"Oseille maritime";"Rumex maritimus L., 1753";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"119533"
"";"Salix bicolor Willd.";"Saule bicolore";"Salix bicolor Willd., 1796";"Liste des espèces végétales protégées en région Rhône-Alpes";"Arrêté interministériel du 4 décembre 1990 relatif à la liste des espèces végétales protégées en région Rhône-Alpes complétant la liste nationale";"Article 1";"119959"
