"CD_NOM","LB_NOM","TRIGRAMME"
188746,"Achillea","Achillea"
79865,"Achillea ageratum","Achage"
79867,"Achillea aspleniifolia","Achasp"
79868,"Achillea atrata","Achatr"
79874,"Achillea chamaemelifolia","Achcha"
610734,"Achillea coarctata","Achcoa"
896277,"Achillea collina","Achcol"
79877,"Achillea crithmifolia","Achcri"
79886,"Achillea distans","Achdis"
130725,"Achillea distans subsp. distans","Achdisdis"
612382,"Achillea distans subsp. stricta","Achdisstr"
130726,"Achillea distans subsp. tanacetifolia","Achdistan"
79887,"Achillea erba-rotta","Acherb"
130727,"Achillea erba-rotta subsp. ambigua","Acherbamb"
130728,"Achillea erba-rotta subsp. erba-rotta","Acherberb"
130729,"Achillea erba-rotta subsp. moschata","Acherbmos"
79890,"Achillea filipendulina","Achfil"
79903,"Achillea ligustica","Achlig"
79905,"Achillea macrophylla","Achmac"
610735,"Achillea maritima","Achmar"
79908,"Achillea millefolium","Achmil"
79913,"Achillea nana","Achnan"
79914,"Achillea nobilis","Achnob"
130746,"Achillea nobilis subsp. nobilis","Achnobnob"
79915,"Achillea odorata","Achodo"
79917,"Achillea pannonica","Achpan"
717711,"Achillea pratensis","Achpra"
79921,"Achillea ptarmica","Achpta"
130749,"Achillea ptarmica subsp. ptarmica","Achptapta"
130750,"Achillea ptarmica subsp. pyrenaica","Achptapyr"
160347,"Achillea punctata","Achpun"
79923,"Achillea roseo-alba","Achros"
79927,"Achillea setacea","Achset"
79939,"Achillea tomentosa","Achtom"
717050,"Achillea x bronchalensis","Achxbro"
79945,"Achillea x commutata","Achxcom"
79946,"Achillea x feliciana","Achxfel"
988899,"Achillea x intermedia","Achxint"
79950,"Achillea x laggeri","Achxlag"
79953,"Achillea x lereschei","Achxler"
79954,"Achillea x maxima","Achxmax"
79959,"Achillea x pseudodorata","Achxpse"
79960,"Achillea x ruscinonensis","Achxrus"
79961,"Achillea x schneideri","Achxsch"
79962,"Achillea x schroeteri","Achxsch2"
79963,"Achillea x thomasiana","Achxtho"
79965,"Achillea x trautmannii","Achxtra"
79966,"Achillea x valesiaca","Achxval"
79967,"Achillea x wilczekiana","Achxwil"
188748,"Achnatherum","Achnatherum"
717051,"Achnatherum bromoides","Achbro"
79970,"Achnatherum calamagrostis","Achcal"
884085,"Achyranthoideae","Achyranthoideae"
788762,"Acicarpha","Acicarpha"
788849,"Acicarpha spathulata","Acispa"
788850,"Acicarpha tribuloides","Acitri"
606843,"Aciphylla","Aciphylla"
610605,"Aciphylla aurea","Aciaur"
610606,"Aciphylla colensoi","Acicol"
610603,"Aciphylla scott-thomsonii","Acisco"
610604,"Aciphylla squarrosa","Acisqu"
606844,"Acis","Acis"
610607,"Acis fabrei","Acifab"
80000,"Acis longifolia","Acilon"
610608,"Acis nicaeensis","Acinic"
80003,"Acis rosea","Aciros"
607063,"Acmella","Acmella"
610574,"Acmella leptophylla","Acmlep"
715604,"Acmispon","Acmispon"
717052,"Acmispon americanus","Acmame"
188767,"Aconitum","Aconitum"
80007,"Aconitum anthora","Acoant"
1079427,"Aconitum anthora subsp. anthora","Acoantant"
80008,"Aconitum bauhinii","Acobau"
80009,"Aconitum burnatii","Acobur"
788895,"Aconitum carmichaelii","Acocar"
80014,"Aconitum corsicum","Acocor"
80016,"Aconitum degenii","Acodeg"
1055726,"Aconitum degenii nothosubsp. gandogeri","Acodeggan"
130762,"Aconitum degenii subsp. paniculatum","Acodegpan"
130763,"Aconitum degenii subsp. valesiacum","Acodegval"
80034,"Aconitum lycoctonum","Acolyc"
130771,"Aconitum lycoctonum subsp. lycoctonum","Acolyclyc"
130772,"Aconitum lycoctonum subsp. neapolitanum","Acolycnea"
80037,"Aconitum napellus","Aconap"
1055958,"Aconitum napellus","Aconap2"
80043,"Aconitum nevadense","Aconev"
1055713,"Aconitum vivantii","Acoviv"
80069,"Aconitum vulgare","Acovul"
1055733,"Aconitum x acuminatum","Acoxacu"
80073,"Aconitum x cammarum","Acoxcam"
187428,"Acoraceae","Acoraceae"
593946,"Acorales","AcoMar"
188769,"Acorus","Acorus"
80086,"Acorus calamus","Acocal"
188242,"Acrochaetiaceae","Acrochaetiaceae"
188209,"Acrochaetiales","AcrFel"
349681,"Acrochaetium","Acrochaetium"
366057,"Acrochaetium alariae","Acrala"
851065,"Acrochaetium armoricanum","Acrarm"
850734,"Acrochaetium boergesenii","Acrboe"
366064,"Acrochaetium cheminii","Acrche"
366055,"Acrochaetium duboscqii","Acrdub"
77236,"Acrochaetium endozoicum","Acrend"
366049,"Acrochaetium hauckii","Acrhau"
366056,"Acrochaetium humile","Acrhum"
366067,"Acrochaetium immersum","Acrimm"
627629,"Acrochaetium immersum f. polysiphoniae","Acrimmpol"
542709,"Acrochaetium irregulare","Acrirr"
627523,"Acrochaetium kuckuckianum","Acrkuc"
627540,"Acrochaetium laminariae","Acrlam2"
366063,"Acrochaetium lorrain-smithiae","Acrlor"
648615,"Acrochaetium mahumetanum","Acrmah"
627524,"Acrochaetium maluinum","Acrmal"
366104,"Acrochaetium mediterraneum","Acrmed"
366078,"Acrochaetium microscopicum","Acrmic"
366081,"Acrochaetium molinieri","Acrmol"
366082,"Acrochaetium moniliforme","Acrmon"
366102,"Acrochaetium parvulum","Acrpar"
627541,"Acrochaetium pusillum","Acrpus2"
366089,"Acrochaetium reductum","Acrred"
669527,"Acrochaetium rosulatum","Acrros"
77238,"Acrochaetium secundatum","Acrsec"
1042069,"Acrochaetium secundatum var. crassitrichum","Acrseccra"
932455,"Acrochaetium sparsum","Acrspa"
924610,"Acrochaetium spathoglossi","Acrspa2"
648617,"Acrochaetium spermatochni","Acrspe"
366099,"Acrochaetium stilophorae","Acrsti"
366100,"Acrochaetium subpinnatum","Acrsub2"
366101,"Acrochaetium subseriatum","Acrsub3"
366105,"Acrochaetium unifilum","Acruni"
353797,"Acrodiscus","Acrodiscus"
368859,"Acrodiscus vidovichii","Acrvid"
349683,"Acrosiphonia","Acrosiphonia"
366118,"Acrosiphonia arcta","Acrarc"
366119,"Acrosiphonia arctiuscula","Acrarc2"
72436,"Acrosiphonia spinescens","Acrspi"
354567,"Acrosorium","Acrosorium"
542593,"Acrosorium ciliolatum","Acrcil"
351530,"Acrosymphytaceae","Acrosymphytaceae"
830282,"Acrosymphytales","Acr"
357356,"Acrosymphyton","Acrosymphyton"
378147,"Acrosymphyton purpuriferum","Acrpur"
354026,"Acrothamnion","Acrothamnion"
369355,"Acrothamnion preissii","Acrpre"
188786,"Actaea","Actaea"
80137,"Actaea spicata","Actspi2"
188796,"Actinastrum","Actinastrum"
653313,"Actinastrum aciculare","Actaci"
73404,"Actinastrum hantzschii","Acthan"
653314,"Actinastrum hantzschii var. subtile","Acthansub"
609584,"Actinidia","Actinidia"
80140,"Actinidia deliciosa","Actdel"
703265,"Actinidiaceae","Actinidiaceae"
976289,"Actinidioideae","Actinidioideae"
1030416,"Actinostroboideae","Actinostroboideae"
188805,"Actinotaenium","Actinotaenium"
719920,"Actinotaenium capax","Actcap"
719922,"Actinotaenium capax var. minus","Actcapmin"
999292,"Actinotaenium clevei","Actcle"
670118,"Actinotaenium colpopelta","Actcol"
653283,"Actinotaenium cruciferum","Actcru"
627011,"Actinotaenium cucurbita","Actcuc"
627012,"Actinotaenium cucurbitinum","Actcuc2"
720029,"Actinotaenium cucurbitinum f. minus","Actcucmin"
1019539,"Actinotaenium cucurbitinum var. longum","Actcuclon"
894913,"Actinotaenium cucurbitinum var. minutum","Actcucmin2"
73409,"Actinotaenium curtum","Actcur"
720953,"Actinotaenium curtum f. minus","Actcurmin"
652714,"Actinotaenium didymocarpum","Actdid"
627013,"Actinotaenium diplosporum","Actdip"
652715,"Actinotaenium diplosporum f. majus","Actdipmaj"
652716,"Actinotaenium geniculatum","Actgen"
648950,"Actinotaenium globosum","Actglo"
648952,"Actinotaenium globosum f. minus","Actglomin"
652717,"Actinotaenium inconspicuum","Actinc"
652718,"Actinotaenium inconspicuum var. curvatum","Actinccur"
652719,"Actinotaenium kriegeri","Actkri"
652720,"Actinotaenium messikommeri","Actmes"
835185,"Actinotaenium minutissimum","Actmin"
652721,"Actinotaenium mooreanum","Actmoo"
652722,"Actinotaenium obcuneatum","Actobc"
652723,"Actinotaenium palangula","Actpal"
652724,"Actinotaenium perminutum","Actper"
73412,"Actinotaenium phymatosporum","Actphy"
652725,"Actinotaenium pinicola","Actpin"
652727,"Actinotaenium rufescens","Actruf"
652729,"Actinotaenium silvae-nigrae","Actsil"
652730,"Actinotaenium silvae-nigrae var. parallelum","Actsilpar"
626979,"Actinotaenium spinospermum","Actspi"
652731,"Actinotaenium subtile","Actsub"
73413,"Actinotaenium truncatum","Acttru"
652732,"Actinotaenium turgidum","Acttur"
652734,"Actinotaenium wollei","Actwol"
830338,"Acutodesmus","Acutodesmus"
1010474,"Acutodesmus acutiformis","Acuacu"
830339,"Acutodesmus raciborskii","Acurac"
188405,"Adelanthaceae","Adelanthaceae"
188813,"Adelanthus","Adelanthus"
188818,"Adenocarpus","Adenocarpus"
80155,"Adenocarpus complicatus","Adecom"
130820,"Adenocarpus complicatus subsp. complicatus","Adecomcom"
612383,"Adenocarpus complicatus subsp. complicatus x Adenocarpus complicatus subsp. parvifolius","Adexsub"
130823,"Adenocarpus complicatus subsp. parvifolius","Adecompar"
80162,"Adenocarpus telonensis","Adetel"
920108,"Adenostemmatinae","Adenostemmatinae"
188820,"Adenostyles","Adenostyles"
80183,"Adenostyles alliariae","Adeall"
80184,"Adenostyles alpina","Adealp"
130834,"Adenostyles alpina subsp. alpina","Adealpalp"
130835,"Adenostyles alpina subsp. briquetii","Adealpbri"
718206,"Adenostyles alpina subsp. pyrenaica","Adealppyr"
80190,"Adenostyles leucophylla","Adeleu"
80194,"Adenostyles x canescens","Adexcan"
80195,"Adenostyles x eginensis","Adexegi"
80196,"Adenostyles x intermedia","Adexint"
188823,"Adiantum","Adiantum"
447951,"Adiantum capillus-veneris","Adicap"
447953,"Adiantum raddianum","Adirad"
974959,"Adonideae","Adonideae"
188828,"Adonis","Adonis"
80211,"Adonis aestivalis","Adoaes"
80212,"Adonis annua","Adoann"
80223,"Adonis dentata","Adoden"
80224,"Adonis flammea","Adofla"
80232,"Adonis microcarpa","Adomic"
80238,"Adonis pyrenaica","Adopyr"
80240,"Adonis vernalis","Adover"
188829,"Adoxa","Adoxa"
80243,"Adoxa moschatellina","Adomos"
850835,"Aegagropila","Aegagropila"
850836,"Aegagropila linnaei","Aeglin"
188834,"Aegilops","Aegilops"
80263,"Aegilops biuncialis","Aegbiu"
718298,"Aegilops biuncialis subsp. biuncialis","Aegbiubiu"
159514,"Aegilops caudata","Aegcau"
610755,"Aegilops columnaris","Aegcol"
610756,"Aegilops crassa","Aegcra"
80270,"Aegilops cylindrica","Aegcyl"
80278,"Aegilops geniculata","Aeggen"
80282,"Aegilops juvenalis","Aegjuv"
80288,"Aegilops neglecta","Aegneg"
80297,"Aegilops speltoides","Aegspe"
955741,"Aegilops speltoides subsp. speltoides","Aegspespe"
80302,"Aegilops triuncialis","Aegtri"
160336,"Aegilops triuncialis subsp. triuncialis","Aegtritri"
80304,"Aegilops ventricosa","Aegven"
610609,"Aegokeras caespitosa","Aegcae"
938207,"Aegonychon","Aegonychon"
80317,"Aegonychon purpurocaeruleum","Aegpur"
188841,"Aegopodium","Aegopodium"
80322,"Aegopodium podagraria","Aegpod"
888809,"Aeluropodinae","Aeluropodinae"
188845,"Aeluropus","Aeluropus"
80329,"Aeluropus littoralis","Aellit"
972545,"Aeonieae","Aeonieae"
188851,"Aeonium","Aeonium"
80331,"Aeonium arboreum","Aeoarb"
610758,"Aeonium cuneatum","Aeocun"
80332,"Aeonium haworthii","Aeohaw"
188856,"Aesculus","Aesculus"
80338,"Aesculus carnea","Aescar"
610760,"Aesculus flava","Aesfla"
80334,"Aesculus hippocastanum","Aeship"
610759,"Aesculus parviflora","Aespar"
80335,"Aesculus pavia","Aespav"
188860,"Aethionema","Aethionema"
80347,"Aethionema monospermum","Aetmon"
80350,"Aethionema saxatile","Aetsax"
80351,"Aethionema thomasianum","Aettho"
1077402,"Aethionemoideae","Aethionemoideae"
188862,"Aethusa","Aethusa"
80358,"Aethusa cynapium","Aetcyn"
130873,"Aethusa cynapium subsp. cynapium","Aetcyncyn"
611902,"Aethusa cynapium subsp. elata","Aetcynela"
599142,"Agapanthoideae","Agapanthoideae"
188867,"Agapanthus","Agapanthus"
80371,"Agapanthus africanus","Agaafr"
80372,"Agapanthus campanulatus","Agacam"
80373,"Agapanthus inapertus","Againa"
154683,"Agapanthus inapertus subsp. pendulus","Againapen"
611775,"Agapanthus praecox","Agapra"
213035,"Agardhiella","Agardhiella"
388218,"Agardhiella subulata","Agasub"
943106,"Agarophyton","Agarophyton"
943107,"Agarophyton vermiculophyllum","Agaver"
788759,"Agastache","Agastache"
1019554,"Agastache aurantiaca","Agaaur"
1019557,"Agastache foeniculum","Agafoe"
788815,"Agastache rugosa","Agarug"
188872,"Agave","Agave"
80383,"Agave americana","Agaame"
707255,"Agave americana subsp. americana","Agaameame"
629039,"Agave fourcroydes","Agafou"
1048448,"Agave ghiesbreghtii","Agaghi"
610762,"Agave salmiana","Agasal"
638607,"Agave sisalana","Agasis"
913697,"Agaveae","Agaveae"
599222,"Agavoideae","Agavoideae"
188877,"Ageratina","Ageratina"
80387,"Ageratina adenophora","Ageade"
920109,"Ageratinae","Ageratinae"
188878,"Ageratum","Ageratum"
445438,"Ageratum conyzoides","Agecon"
80390,"Ageratum houstonianum","Agehou"
1009626,"Agissea","Agissea"
1009632,"Agissea harveyana","Agihar"
1009627,"Agissea inamoena","Agiina"
1019162,"Agissea orientalis","Agiori"
1009631,"Agissea stoechas","Agisto"
349600,"Aglaothamnion","Aglaothamnion"
365624,"Aglaothamnion bipinnatum","Aglbip"
365622,"Aglaothamnion caudatum","Aglcau"
627510,"Aglaothamnion chadefaudii","Aglcha"
365614,"Aglaothamnion cordatum","Aglcor"
365620,"Aglaothamnion diaphanum","Agldia"
365626,"Aglaothamnion fasciculatum","Aglfas"
365621,"Aglaothamnion feldmanniae","Aglfel"
627511,"Aglaothamnion gaillonii","Aglgai"
365619,"Aglaothamnion priceanum","Aglpri"
365616,"Aglaothamnion pseudobyssoides","Aglpse"
652736,"Aglaothamnion rabenhorstii","Aglrab"
388751,"Aglaothamnion scopulorum","Aglsco"
365615,"Aglaothamnion tenuissimum","Aglten"
627608,"Aglaothamnion tenuissimum var. mazoyerae","Agltenmaz"
72449,"Aglaothamnion tripinnatum","Agltri"
188897,"Agrimonia","Agrimonia"
80410,"Agrimonia eupatoria","Agreup"
130876,"Agrimonia eupatoria subsp. eupatoria","Agreupeup"
130877,"Agrimonia eupatoria subsp. grandis","Agreupgra"
80417,"Agrimonia procera","Agrpro"
717053,"Agrimonia repens","Agrrep"
80424,"Agrimonia x wirtgenii","Agrxwir"
974809,"Agrimonieae","Agrimonieae"
974810,"Agrimoniinae","Agrimoniinae"
188907,"Agropyron","Agropyron"
80446,"Agropyron cristatum","Agrcri"
130885,"Agropyron cristatum subsp. pectinatum","Agrcripec"
188908,"Agrostemma","Agrostemma"
80546,"Agrostemma githago","Agrgit"
610787,"Agrostemma gracile","Agrgra"
973636,"Agrostidinae","Agrostidinae"
188909,"Agrostis","Agrostis"
80564,"Agrostis alpina","Agralp"
80590,"Agrostis canina","Agrcan"
130945,"Agrostis canina subsp. canina","Agrcancan"
613139,"Agrostis canina var. canina","Agrcancan2"
718632,"Agrostis canina var. opulenta","Agrcanopu"
80591,"Agrostis capillaris","Agrcap"
613447,"Agrostis capillaris var. alpigena","Agrcapalp"
130953,"Agrostis capillaris var. capillaris","Agrcapcap"
80593,"Agrostis castellana","Agrcas"
718633,"Agrostis castellana var. castellana","Agrcascas"
621655,"Agrostis castellana var. mutica","Agrcasmut"
80605,"Agrostis curtisii","Agrcur"
80639,"Agrostis gigantea","Agrgig"
80645,"Agrostis hesperica","Agrhes"
80650,"Agrostis hyemalis","Agrhye"
610789,"Agrostis marysae-tortiae","Agrmar"
610790,"Agrostis montevidensis","Agrmon"
80729,"Agrostis rupestris","Agrrup"
613452,"Agrostis rupestris var. alpinoides","Agrrupalp"
142920,"Agrostis rupestris var. pyrenaica","Agrruppyr"
