"CD_NOM","LB_NOM","TRIGRAMME"
191711,"Dicentra","Dicentra"
94906,"Dicentra formosa","Dicfor2"
888757,"Dichantheliinae","Dichantheliinae"
191714,"Dichanthelium","Dichanthelium"
94908,"Dichanthelium acuminatum","Dicacu2"
446289,"Dichanthium","Dichanthium"
717748,"Dichanthium foveolatum","Dicfov"
191715,"Dichelyma","Dichelyma"
5081,"Dichelyma capillaceum","Diccap"
5082,"Dichelyma falcatum","Dicfal"
929826,"Dichodon","Dichodon"
94915,"Dichodon cerastoides","Diccer"
94917,"Dichodon viscidum","Dicvis"
191719,"Dichodontium","Dichodontium"
4437,"Dichodontium flavescens","Dicfla"
4439,"Dichodontium pellucidum","Dicpel"
191721,"Dichondra","Dichondra"
1003736,"Dichondra argentea","Dicarg"
94919,"Dichondra micrantha","Dicmic2"
848299,"Dichondreae","Dichondreae"
848298,"Dichondroideae","Dichondroideae"
715621,"Dichoropetalum","Dichoropetalum"
717749,"Dichoropetalum carvifolia","Diccar"
717750,"Dichoropetalum schottii","Dicsch"
191723,"Dichotomococcus","Dichotomococcus"
75746,"Dichotomococcus curvatus","Diccur"
187596,"Dichotomosiphonaceae","Dichotomosiphonaceae"
446454,"Dicksonia","Dicksonia"
1021955,"Dicksonia antarctica","Dicant"
187138,"Dicranaceae","Dicranaceae"
187137,"Dicranales","DicH.P"
191731,"Dicranella","Dicranella"
4441,"Dicranella cerviculata","Diccer2"
4446,"Dicranella heteromalla","Dichet"
968956,"Dicranellaceae","Dicranellaceae"
1036874,"Dicranellopsidaceae","Dicranellopsidaceae"
1036875,"Dicranellopsis","Dicranellopsis"
1036876,"Dicranellopsis crispa","Diccri"
1036878,"Dicranellopsis subulata","Dicsub3"
191733,"Dicranodontium","Dicranodontium"
4730,"Dicranodontium asperulum","Dicasp"
4731,"Dicranodontium denudatum","Dicden"
4732,"Dicranodontium uncinatum","Dicunc"
191738,"Dicranoweisia","Dicranoweisia"
4734,"Dicranoweisia cirrata","Diccir"
191740,"Dicranum","Dicranum"
434123,"Dicranum acutifolium","Dicacu"
4741,"Dicranum bonjeanii","Dicbon"
434124,"Dicranum brevifolium","Dicbre"
434125,"Dicranum dispersum","Dicdis"
4743,"Dicranum elongatum","Dicelo"
4779,"Dicranum flagellare","Dicfla2"
4745,"Dicranum flexicaule","Dicfle"
4746,"Dicranum fulvum","Dicful"
4747,"Dicranum fuscescens","Dicfus"
792584,"Dicranum fuscescens var. longirostre","Dicfuslon"
4748,"Dicranum groenlandicum","Dicgro"
434121,"Dicranum leioneuron","Diclei"
4750,"Dicranum majus","Dicmaj"
4781,"Dicranum montanum","Dicmon"
4751,"Dicranum muehlenbeckii","Dicmue"
4752,"Dicranum polysetum","Dicpol"
4754,"Dicranum scoparium","Dicsco"
4759,"Dicranum scottianum","Dicsco2"
434128,"Dicranum spadiceum","Dicspa2"
4761,"Dicranum spurium","Dicspu"
4784,"Dicranum tauricum","Dictau"
436308,"Dicranum undulatum","Dicund"
4763,"Dicranum viride","Dicvir"
894452,"Dictamneae","Dictamneae"
191744,"Dictamnus","Dictamnus"
94923,"Dictamnus albus","Dicalb"
653534,"Dictyochlorella reniformis","Dicren"
191756,"Dictyosphaerium","Dictyosphaerium"
74003,"Dictyosphaerium ehrenbergianum","Dicehr"
653537,"Dictyosphaerium granulatum","Dicgra"
687918,"Dictyosphaerium planctonicum","Dicpla"
653538,"Dictyosphaerium subsolitarium","Dicsub"
995303,"Didymocarpoideae","Didymocarpoideae"
653543,"Didymocystis inermis","Didine"
191769,"Didymodon","Didymodon"
5273,"Didymodon acutus","Didacu"
5276,"Didymodon asperifolius","Didasp"
434191,"Didymodon brachyphyllus","Didbra"
5278,"Didymodon cordatus","Didcor"
5279,"Didymodon fallax","Didfal"
5281,"Didymodon ferrugineus","Didfer"
434193,"Didymodon giganteus","Didgig"
434194,"Didymodon glaucus","Didgla"
956664,"Didymodon glaucus subsp. glaucus","Didglagla"
5283,"Didymodon icmadophilus","Didicm"
5284,"Didymodon insulanus","Didins"
434198,"Didymodon nicholsonii","Didnic"
5292,"Didymodon rigidulus","Didrig"
5298,"Didymodon spadiceus","Didspa"
434200,"Didymodon subandreaeoides","Didsub"
5300,"Didymodon tophaceus","Didtop"
962062,"Didymodon tophaceus subsp. tophaceus","Didtoptop"
962077,"Didymodon tophaceus var. anatinus","Didtopana"
792513,"Didymodon tophaceus var. brevifolius","Didtopbre"
962074,"Didymodon tophaceus var. tophaceus","Didtoptop2"
434202,"Didymodon umbrosus","Didumb"
819605,"Didymodon validus","Didval"
191770,"Didymogenes","Didymogenes"
653544,"Didymogenes anomala","Didano"
354033,"Didymosporangium","Didymosporangium"
369372,"Didymosporangium repens","Didrep"
191775,"Dierama","Dierama"
94936,"Dierama pulcherrimum","Diepul"
1037572,"Diervilloideae","Diervilloideae"
354597,"Digenea","Digenea"
370861,"Digenea simplex","Digsim"
851791,"Digitalideae","Digitalideae"
191776,"Digitalis","Digitalis"
1002843,"Digitalis ferruginea","Digfer"
94942,"Digitalis grandiflora","Diggra"
161486,"Digitalis lanata","Diglan"
94945,"Digitalis lutea","Diglut"
133894,"Digitalis lutea subsp. australis","Diglutaus"
1020840,"Digitalis lutea subsp. australis x Digitalis purpurea","Digxsub"
133895,"Digitalis lutea subsp. lutea","Diglutlut"
94959,"Digitalis purpurea","Digpur"
762153,"Digitalis purpurea subsp. purpurea","Digpurpur"
94961,"Digitalis x fucata","Digxfuc"
94962,"Digitalis x fulva","Digxful"
94947,"Digitalis x media","Digxmed"
94965,"Digitalis x mertonensis","Digxmer"
191778,"Digitaria","Digitaria"
94969,"Digitaria aequiglumis","Digaeq"
94972,"Digitaria ciliaris","Digcil"
94975,"Digitaria debilis","Digdeb"
94985,"Digitaria ischaemum","Digisc"
94995,"Digitaria sanguinalis","Digsan"
446295,"Digitaria violascens","Digvio"
349632,"Dilsea","Dilsea"
72701,"Dilsea carnosa","Dilcar"
948718,"Dimorphotheca","Dimorphotheca"
95020,"Dimorphotheca pluvialis","Dimplu"
95022,"Dimorphotheca sinuata","Dimsin"
191790,"Dinebra","Dinebra"
788885,"Dinebra panicea","Dinpan"
926944,"Dinebra panicea var. brachiata","Dinpanbra"
95026,"Dinebra retroflexa","Dinret"
978481,"Dinebra retroflexa var. retroflexa","Dinretret"
786326,"Diobelonella","Diobelonella"
435705,"Diobelonella palustris","Diopal"
446208,"Dioscorea","Dioscorea"
611652,"Dioscorea communis","Diocom"
95046,"Dioscorea pyrenaica","Diopyr"
853235,"Dioscorea sect. Borderea","Diosec"
187467,"Dioscoreaceae","Dioscoreaceae"
593950,"Dioscoreales","DioMar"
191808,"Diospyros","Diospyros"
1003150,"Diospyros kaki","Diokak"
95048,"Diospyros lotus","Diolot"
1003520,"Diospyros sect. Diospyros","Diosec2"
1003521,"Diospyros subg. Diospyros","Diosub"
611108,"Diospyros virginiana","Diovir"
191810,"Dipcadi","Dipcadi"
95055,"Dipcadi serotinum","Dipser"
191812,"Diphasiastrum","Diphasiastrum"
95056,"Diphasiastrum alpinum","Dipalp"
95060,"Diphasiastrum tristachyum","Diptri"
95058,"Diphasiastrum x issleri","Dipxiss"
95059,"Diphasiastrum x oellgaardii","Dipxoel"
95061,"Diphasiastrum x zeilleri","Dipxzei"
433768,"Diphysciaceae","Diphysciaceae"
433760,"Diphysciales","DipM.F"
191815,"Diphyscium","Diphyscium"
3888,"Diphyscium foliosum","Dipfol"
191817,"Diplachne","Diplachne"
95073,"Diplachne fusca","Dipfus"
718678,"Diplachne fusca var. fascicularis","Dipfusfas"
718679,"Diplachne fusca var. fusca","Dipfusfus"
718680,"Diplachne fusca var. uninervia","Dipfusuni"
653547,"Diplochloris lunata","Diplun"
191835,"Diplophyllum","Diplophyllum"
6505,"Diplophyllum albicans","Dipalb"
6507,"Diplophyllum obtusifolium","Dipobt"
6508,"Diplophyllum taxifolium","Diptax"
191842,"Diplotaxis","Diplotaxis"
95101,"Diplotaxis assurgens","Dipass"
133905,"Diplotaxis assurgens subsp. assurgens","Dipassass"
95108,"Diplotaxis catholica","Dipcat"
95111,"Diplotaxis erucoides","Diperu"
133906,"Diplotaxis erucoides subsp. erucoides","Diperueru"
95122,"Diplotaxis muralis","Dipmur"
133910,"Diplotaxis muralis subsp. muralis","Dipmurmur"
95136,"Diplotaxis tenuifolia","Dipten"
95137,"Diplotaxis tenuisiliqua","Dipten2"
95141,"Diplotaxis viminea","Dipvim"
978520,"Diplotaxis virgata","Dipvir"
1017969,"Diplotaxis virgata subsp. brachycarpa","Dipvirbra"
95142,"Diplotaxis x wirtgenii","Dipxwir"
187419,"Dipsacales","DipJus"
1037573,"Dipsacoideae","Dipsacoideae"
191847,"Dipsacus","Dipsacus"
95147,"Dipsacus ferox","Dipfer"
95149,"Dipsacus fullonum","Dipful"
95151,"Dipsacus laciniatus","Diplac"
95154,"Dipsacus pilosus","Dippil"
95155,"Dipsacus sativus","Dipsat"
969418,"Dipsacus strigosus","Dipstr"
95158,"Dipsacus x fallax","Dipxfal"
354585,"Dipterosiphonia","Dipterosiphonia"
370832,"Dipterosiphonia dendritica","Dipden"
370831,"Dipterosiphonia rigens","Diprig"
1042198,"Dipterosiphonieae","Dipterosiphonieae"
188057,"Disceliaceae","Disceliaceae"
191855,"Discelium","Discelium"
5632,"Discelium nudum","Disnud"
1030423,"Diselmeae","Diselmeae"
191872,"Disphyma","Disphyma"
95169,"Disphyma crassifolium","Discra"
809900,"Distichiaceae","Distichiaceae"
191876,"Distichium","Distichium"
4808,"Distichium capillaceum","Discap"
4809,"Distichium inclinatum","Disinc"
191877,"Distichlis","Distichlis"
95175,"Distichlis spicata","Disspi"
191878,"Distichoselinum","Distichoselinum"
160253,"Distichoselinum tenuifolium","Disten"
188055,"Ditrichaceae","Ditrichaceae"
191890,"Ditrichum","Ditrichum"
4816,"Ditrichum heteromallum","Dithet"
4818,"Ditrichum lineare","Ditlin"
4819,"Ditrichum pallidum","Ditpal"
434094,"Ditrichum plumbicola","Ditplu"
4820,"Ditrichum pusillum","Ditpus"
4821,"Ditrichum subulatum","Ditsub"
434096,"Ditrichum zonatum","Ditzon"
191891,"Dittrichia","Dittrichia"
95186,"Dittrichia graveolens","Ditgra"
95187,"Dittrichia viscosa","Ditvis"
133920,"Dittrichia viscosa subsp. viscosa","Ditvisvis"
953315,"Dixoniella","Dixoniella"
953316,"Dixoniella grisea","Dixgri"
651214,"Dixoniellaceae","Dixoniellaceae"
651213,"Dixoniellales","Dix"
191896,"Docidium","Docidium"
975263,"Docidium asperum","Docasp"
74021,"Docidium baculum","Docbac"
650462,"Docidium undulatum","Docund"
968088,"Dodartia","Dodartia"
968091,"Dodartia orientalis","Dodori"
354027,"Dohrniella","Dohrniella"
369356,"Dohrniella neapolitana","Dohnea"
830286,"Dohrnielleae","Dohrnielleae"
788760,"Dolichandra","Dolichandra"
788845,"Dolichandra unguis-cati","Dolung"
606885,"Dorema","Dorema"
610582,"Dorema ammoniacum","Doramm"
919705,"Doroniceae","Doroniceae"
191928,"Doronicum","Doronicum"
95209,"Doronicum austriacum","Doraus"
95215,"Doronicum clusii","Dorclu"
95216,"Doronicum columnae","Dorcol"
95221,"Doronicum corsicum","Dorcor"
95225,"Doronicum grandiflorum","Dorgra"
95237,"Doronicum orientale","Dorori"
95239,"Doronicum pardalianches","Dorpar"
95240,"Doronicum plantagineum","Dorpla"
611162,"Doronicum x excelsum","Dorxexc"
95250,"Doronicum x pardalianchoides","Dorxpar"
918703,"Dorstenieae","Dorstenieae"
191932,"Dorycnopsis","Dorycnopsis"
95285,"Dorycnopsis gerardi","Dorger"
191942,"Douinia","Douinia"
6510,"Douinia ovata","Douova"
191944,"Draba","Draba"
95289,"Draba aizoides","Draaiz"
133934,"Draba aizoides subsp. aizoides","Draaizaiz"
95312,"Draba dubia","Dradub"
95313,"Draba fladnizensis","Drafla"
95322,"Draba hoppeana","Drahop"
95323,"Draba incana","Drainc"
95333,"Draba loiseleurii","Draloi"
95337,"Draba muralis","Dramur"
95340,"Draba nemorosa","Dranem"
95356,"Draba siliquosa","Drasil"
95365,"Draba subnivalis","Drasub"
95368,"Draba tomentosa","Dratom"
95372,"Draba verna","Draver"
95374,"Draba x decipiens","Draxdec"
95375,"Draba x districta","Draxdis"
95376,"Draba x flavicans","Draxfla"
95377,"Draba x hoppei","Draxhop"
95378,"Draba x intermedia","Draxint"
95380,"Draba x lattiniciae","Draxlat"
95382,"Draba x nivea","Draxniv"
95383,"Draba x setulosa","Draxset"
95384,"Draba x sturi","Draxstu"
95385,"Draba x traunsteineri","Draxtra"
354572,"Drachiella","Drachiella"
370814,"Drachiella heterocarpa","Drahet"
370813,"Drachiella spectabilis","Draspe"
191945,"Dracocephalum","Dracocephalum"
95398,"Dracocephalum austriacum","Draaus"
95405,"Dracocephalum moldavica","Dramol"
95406,"Dracocephalum parviflorum","Drapar"
95407,"Dracocephalum ruyschiana","Draruy"
95410,"Dracocephalum thymiflorum","Drathy"
191946,"Dracunculus","Dracunculus"
95425,"Dracunculus vulgaris","Dravul"
191948,"Draparnaldia","Draparnaldia"
74023,"Draparnaldia glomerata","Draglo"
74025,"Draparnaldia mutabilis","Dramut"
786355,"Drepanium","Drepanium"
931174,"Drepanium fastigiatum","Drefas"
1009766,"Drepanochloris nannoselene","Drenan"
191954,"Drepanocladus","Drepanocladus"
5506,"Drepanocladus aduncus","Dreadu"
5516,"Drepanocladus lycopodioides","Drelyc"
434384,"Drepanocladus polygamus","Drepol"
5520,"Drepanocladus sendtneri","Dresen"
434385,"Drepanocladus sordidus","Dresor"
770790,"Drepanocladus trifarius","Dretri"
786547,"Drepanocladus turgescens","Dretur"
191955,"Drepanolejeunea","Drepanolejeunea"
6703,"Drepanolejeunea hamatifolia","Dreham"
191964,"Drosanthemum","Drosanthemum"
95434,"Drosanthemum floribundum","Droflo"
717165,"Drosanthemum hispidum","Drohis"
191965,"Drosera","Drosera"
95436,"Drosera anglica","Droang"
969533,"Drosera capensis","Drocap"
95438,"Drosera intermedia","Droint"
95442,"Drosera rotundifolia","Drorot"
1006010,"Drosera spatulata","Drospa"
1006011,"Drosera x eloisiana","Droxelo"
95445,"Drosera x obovata","Droxobo"
187302,"Droseraceae","Droseraceae"
974494,"Dryadoideae","Dryadoideae"
191970,"Dryas","Dryas"
95461,"Dryas octopetala","Dryoct"
974792,"Drymocallis","Drymocallis"
923072,"Drymocallis corsica","Drycor"
95462,"Drymocallis rupestris","Dryrup"
715564,"Drymochloa","Drymochloa"
95463,"Drymochloa sylvatica","Drysyl"
703266,"Dryopteridaceae","Dryopteridaceae"
445343,"Dryopteridoideae","Dryopteridoideae"
191982,"Dryopteris","Dryopteris"
95546,"Dryopteris aemula","Dryaem"
95547,"Dryopteris affinis","Dryaff"
1038740,"Dryopteris affinis","Dryaff2"
95550,"Dryopteris ardechensis","Dryard"
1038698,"Dryopteris borreri","Drybor"
95557,"Dryopteris cambrensis","Drycam"
95558,"Dryopteris carthusiana","Drycar"
95561,"Dryopteris cristata","Drycri"
1038643,"Dryopteris cycadina","Drycyc"
95563,"Dryopteris dilatata","Drydil"
1038867,"Dryopteris dilatata subsp. dilatata","Drydildil"
611167,"Dryopteris erythrosora","Dryery"
95566,"Dryopteris expansa","Dryexp"
95567,"Dryopteris filix-mas","Dryfil"
971808,"Dryopteris filix-mas subsp. filix-mas","Dryfilfil"
959103,"Dryopteris mindshelkensis","Drymin2"
95581,"Dryopteris oreades","Dryore"
95584,"Dryopteris pallida","Drypal"
133983,"Dryopteris pallida subsp. pallida","Drypalpal"
1038695,"Dryopteris pseudocomplexa","Drypse"
789257,"Dryopteris pseudodisjuncta","Drypse2"
95589,"Dryopteris remota","Dryrem"
95601,"Dryopteris tyrrhena","Drytyr"
95602,"Dryopteris villarsii","Dryvil"
959026,"Dryopteris x alpirsbachensis","Dryxalp"
95603,"Dryopteris x ambroseae","Dryxamb"
95606,"Dryopteris x brathaica","Dryxbra"
1047048,"Dryopteris x complanata","Dryxcom"
95608,"Dryopteris x complexa","Dryxcom2"
1047049,"Dryopteris x convoluta","Dryxcon"
1044062,"Dryopteris x critica","Dryxcri"
95609,"Dryopteris x deweveri","Dryxdew"
1049748,"Dryopteris x ligustica","Dryxlig"
95616,"Dryopteris x mantoniae","Dryxman"
95620,"Dryopteris x sardoa","Dryxsar"
95621,"Dryopteris x sarvelae","Dryxsar2"
95625,"Dryopteris x uliginosa","Dryxuli"
349633,"Dudresnaya","Dudresnaya"
72709,"Dudresnaya verticillata","Dudver"
852398,"Dulichieae","Dulichieae"
606886,"Dulichium","Dulichium"
610583,"Dulichium arundinaceum","Dularu"
349634,"Dumontia","Dumontia"
72711,"Dumontia contorta","Dumcon"
953340,"Dumontia simplex","Dumsim"
188040,"Dumontiaceae","Dumontiaceae"
191991,"Dumortiera","Dumortiera"
6191,"Dumortiera hirsuta","Dumhir"
658457,"Dumortieraceae","Dumortieraceae"
830356,"Dunaliellaceae","Dunaliellaceae"
446075,"Duranta","Duranta"
448497,"Duranta erecta","Durere"
851964,"Duranteae","Duranteae"
953348,"Dysmorphococcus","Dysmorphococcus"
953349,"Dysmorphococcus globosus","Dysglo"
965441,"Dysmorphococcus variabilis","Dysvar"
192009,"Dysphania","Dysphania"
611753,"Dysphania ambrosioides","Dysamb"
611754,"Dysphania anthelmintica","Dysant"
1022313,"Dysphania atriplicifolia","Dysatr"
611755,"Dysphania botrys","Dysbot"
611756,"Dysphania carinata","Dyscar"
611757,"Dysphania cristata","Dyscri"
611760,"Dysphania multifida","Dysmul"
611751,"Dysphania pumilio","Dyspum"
611752,"Dysphania schraderiana","Dyssch"
1022317,"Dysphania sect. Adenois","Dyssec"
1022320,"Dysphania sect. Botryoides","Dyssec2"
1022327,"Dysphania sect. Cycloloma","Dyssec3"
1022335,"Dysphania sect. Dysphania","Dyssec4"
1022326,"Dysphania sect. Margaritaria","Dyssec5"
1022338,"Dysphania subsect. Orthospora","Dyssub"
884104,"Dysphanieae","Dysphanieae"
187387,"Ebenaceae","Ebenaceae"
1003193,"Ebenoideae","Ebenoideae"
192013,"Ecballium","Ecballium"
95662,"Ecballium elaterium","Ecbela"
133994,"Ecballium elaterium var. elaterium","Ecbelaela"
192016,"Eccremocarpus","Eccremocarpus"
95664,"Eccremocarpus scaber","Eccsca"
1025486,"Echiinae","Echiinae"
192023,"Echinacea","Echinacea"
95665,"Echinacea purpurea","Echpur"
192024,"Echinaria","Echinaria"
95666,"Echinaria capitata","Echcap"
192027,"Echinochloa","Echinochloa"
95669,"Echinochloa colona","Echcol"
95671,"Echinochloa crus-galli","Echcru"
619297,"Echinochloa hispidula","Echhis"
95679,"Echinochloa muricata","Echmur"
146305,"Echinochloa muricata var. microstachya","Echmurmic"
146306,"Echinochloa muricata var. muricata","Echmurmur"
95681,"Echinochloa oryzicola","Echory"
95682,"Echinochloa oryzoides","Echory2"
192030,"Echinocystis","Echinocystis"
95691,"Echinocystis lobata","Echlob"
192037,"Echinophora","Echinophora"
95697,"Echinophora spinosa","Echspi"
968098,"Echinophora tenuifolia","Echten"
968099,"Echinophora tenuifolia subsp. tenuifolia","Echtenten"
957829,"Echinophoreae","Echinophoreae"
192038,"Echinops","Echinops"
611195,"Echinops bannaticus","Echban"
95700,"Echinops exaltatus","Echexa"
95709,"Echinops ritro","Echrit"
95713,"Echinops sphaerocephalus","Echsph"
134013,"Echinops sphaerocephalus subsp. sphaerocephalus","Echsphsph"
95716,"Echinops x pellenzianus","Echxpel"
919504,"Echinopsinae","Echinopsinae"
653551,"Echinosphaerella limnetica","Echlim"
192047,"Echium","Echium"
611197,"Echium angustifolium","Echang"
1027511,"Echium angustifolium subsp. angustifolium","Echangang"
95740,"Echium arenarium","Echare"
95741,"Echium asperrimum","Echasp"
995951,"Echium asperrimum x Echium italicum","EchaspxEchita"
717166,"Echium candicans","Echcan"
95749,"Echium creticum","Echcre"
134018,"Echium creticum subsp. creticum","Echcrecre"
95758,"Echium italicum","Echita"
134023,"Echium italicum subsp. italicum","Echitaita"
909401,"Echium montenielluense","Echmon"
95771,"Echium parviflorum","Echpar"
611198,"Echium pininana","Echpin"
95774,"Echium plantagineum","Echpla"
95782,"Echium rauwolfii","Echrau"
95784,"Echium rosulatum","Echros"
979002,"Echium rosulatum subsp. rosulatum","Echrosros"
95786,"Echium sabulicola","Echsab"
134029,"Echium sabulicola subsp. sabulicola","Echsabsab"
95793,"Echium vulgare","Echvul"
613511,"Echium vulgare var. pustulatum","Echvulpus"
613150,"Echium vulgare var. vulgare","Echvulvul"
192049,"Eclipta","Eclipta"
95806,"Eclipta prostrata","Eclpro"
920141,"Ecliptinae","Ecliptinae"
192066,"Ehrharta","Ehrharta"
710411,"Ehrharta erecta","Ehrere"
888728,"Ehrharteae","Ehrharteae"
187347,"Elaeagnaceae","Elaeagnaceae"
192077,"Elaeagnus","Elaeagnus"
95831,"Elaeagnus angustifolia","Elaang"
95837,"Elaeagnus macrophylla","Elamac2"
161575,"Elaeagnus multiflora","Elamul2"
95839,"Elaeagnus pungens","Elapun"
95841,"Elaeagnus umbellata","Elaumb"
95842,"Elaeagnus x reflexa","Elaxref"
611221,"Elaeagnus x submacrophylla","Elaxsub"
192079,"Elaeoselinum","Elaeoselinum"
95844,"Elaeoselinum meoides","Elameo"
192081,"Elakatothrix","Elakatothrix"
74036,"Elakatothrix gelatinosa","Elagel"
653554,"Elakatothrix genevensis","Elagen"
653553,"Elakatotrichaceae","Elakatotrichaceae"
627561,"Elaterodiscus","Elaterodiscus"
627649,"Elaterodiscus appendiculatus","Elaapp"
187356,"Elatinaceae","Elatinaceae"
192091,"Elatine","Elatine"
95847,"Elatine alsinastrum","Elaals"
95848,"Elatine brochonii","Elabro"
95850,"Elatine campylosperma","Elacam"
892322,"Elatine gussonei","Elagus"
95858,"Elatine hexandra","Elahex"
95860,"Elatine hydropiper","Elahyd"
95864,"Elatine macropoda","Elamac"
95865,"Elatine major","Elamaj"
95868,"Elatine orthosperma","Elaort"
95877,"Elatine triandra","Elatri"
852394,"Eleocharideae","Eleocharideae"
192097,"Eleocharis","Eleocharis"
95889,"Eleocharis acicularis","Eleaci"
95891,"Eleocharis atropurpurea","Eleatr"
95895,"Eleocharis bonariensis","Elebon"
95914,"Eleocharis mamillata","Elemam"
134053,"Eleocharis mamillata subsp. austriaca","Elemamaus"
612461,"Eleocharis mamillata subsp. mamillata","Elemammam"
95916,"Eleocharis multicaulis","Elemul"
788821,"Eleocharis obtusa","Eleobt"
95919,"Eleocharis ovata","Eleova"
95922,"Eleocharis palustris","Elepal"
134060,"Eleocharis palustris subsp. palustris","Elepalpal"
612462,"Eleocharis palustris subsp. waltersii","Elepalwal"
95923,"Eleocharis parvula","Elepar"
95927,"Eleocharis quinqueflora","Elequi"
930934,"Eleocharis sect. Baeothryon","Elesec"
930937,"Eleocharis sect. Eleocharis","Elesec2"
930939,"Eleocharis sect. Eleogenus","Elesec3"
930942,"Eleocharis sect. Parvulae","Elesec4"
930959,"Eleocharis ser. Eleocharis","Eleser"
930955,"Eleocharis ser. Maculosae","Eleser2"
930960,"Eleocharis ser. Multicaules","Eleser3"
930954,"Eleocharis ser. Ovatae","Eleser4"
930930,"Eleocharis subg. Eleocharis","Elesub"
930928,"Eleocharis subg. Scirpidium","Elesub2"
930926,"Eleocharis subg. Zinserlingia","Elesub3"
930973,"Eleocharis subser. Eleocharis","Elesub4"
930957,"Eleocharis subser. Rigidae","Elesub5"
95933,"Eleocharis uniglumis","Eleuni"
95936,"Eleocharis x haussknechtiana","Elexhau"
192099,"Eleusine","Eleusine"
95954,"Eleusine africana","Eleafr"
95965,"Eleusine indica","Eleind"
95975,"Eleusine tristachya","Eletri"
888811,"Eleusininae","Eleusininae"
953585,"Elliptochloris","Elliptochloris"
953586,"Elliptochloris marina","Ellmar"
968104,"Ellisia","Ellisia"
968105,"Ellisia nyctelea","Ellnyc"
778608,"Ellisolandia","Ellisolandia"
778610,"Ellisolandia elongata","Ellelo"
192114,"Elodea","Elodea"
95979,"Elodea callitrichoides","Elocal"
95980,"Elodea canadensis","Elocan"
161057,"Elodea densa","Eloden"
1077329,"Elodea naias","Elonai"
95983,"Elodea nuttallii","Elonut"
192122,"Elsholtzia","Elsholtzia"
95985,"Elsholtzia ciliata","Elscil"
851829,"Elsholtzieae","Elsholtzieae"
192124,"Elymus","Elymus"
95992,"Elymus caninus","Elycan"
192126,"Elytrigia","Elytrigia"
96025,"Elytrigia acuta","Elyacu"
96030,"Elytrigia campestris","Elycam"
718341,"Elytrigia campestris subsp. campestris","Elycamcam"
718342,"Elytrigia campestris subsp. campestris x Elytrigia intermedia subsp. intermedia","Elyxsub"
718343,"Elytrigia campestris subsp. campestris x Elytrigia intermedia subsp. pouzolzii","Elyxsub2"
619313,"Elytrigia campestris subsp. maritima","Elycammar"
611239,"Elytrigia campestris x Elytrigia intermedia","ElycamxElyint"
96031,"Elytrigia corsica","Elycor"
96032,"Elytrigia elongata","Elyelo"
134076,"Elytrigia elongata subsp. elongata","Elyeloelo"
96034,"Elytrigia intermedia","Elyint"
134082,"Elytrigia intermedia subsp. intermedia","Elyintint"
134084,"Elytrigia intermedia subsp. pouzolzii","Elyintpou"
96035,"Elytrigia juncea","Elyjun"
134086,"Elytrigia juncea subsp. boreoatlantica","Elyjunbor"
134087,"Elytrigia juncea subsp. juncea","Elyjunjun"
96040,"Elytrigia obtusiflora","Elyobt"
718344,"Elytrigia obtusiflora subsp. obtusiflora","Elyobtobt"
96046,"Elytrigia repens","Elyrep"
134093,"Elytrigia repens subsp. repens","Elyreprep"
96047,"Elytrigia scirpea","Elysci"
717167,"Elytrigia x duvalii","Elyxduv"
718345,"Elytrigia x duvalii nothosubsp. duvalii","Elyxduv2"
718226,"Elytrigia x duvalii nothosubsp. obtusiuscula","Elyxduv3"
96053,"Elytrigia x laxa","Elyxlax"
96055,"Elytrigia x mucronata","Elyxmuc"
96057,"Elytrigia x oliveri","Elyxoli"
96051,"Elytrigia x tallonii","Elyxtal"
907696,"Embothrieae","Embothrieae"
907384,"Empetreae","Empetreae"
192137,"Empetrum","Empetrum"
96069,"Empetrum nigrum","Empnig"
134095,"Empetrum nigrum subsp. hermaphroditum","Empnigher"
134096,"Empetrum nigrum subsp. nigrum","Empnignig"
192145,"Enarthrocarpus","Enarthrocarpus"
968114,"Enarthrocarpus arcuatus","Enaarc"
192146,"Encalypta","Encalypta"
4842,"Encalypta affinis","Encaff"
4843,"Encalypta affinis subsp. affinis","Encaffaff"
434536,"Encalypta affinis subsp. macounii","Encaffmac"
4844,"Encalypta alpina","Encalp"
4845,"Encalypta brevipes","Encbre"
4846,"Encalypta ciliata","Enccil"
433994,"Encalypta longicolla","Enclon"
4848,"Encalypta microstoma","Encmic"
963671,"Encalypta pilifera","Encpil"
4849,"Encalypta rhaptocarpa","Encrha"
4850,"Encalypta spathulata","Encspa"
4851,"Encalypta streptocarpa","Encstr"
435543,"Encalypta trachymitria","Enctra"
4852,"Encalypta vulgaris","Encvul"
187140,"Encalyptaceae","Encalyptaceae"
433762,"Encalyptales","EncDix"
188065,"Endosphaeraceae","Endosphaeraceae"
192167,"Endressia","Endressia"
96079,"Endressia pyrenaica","Endpyr"
920142,"Engelmanniinae","Engelmanniinae"
627518,"Enteromorpha bayonnensis","Entbay"
627519,"Enteromorpha coziana","Entcoz"
159455,"Enteromorpha dangeardii","Entdan"
74046,"Enteromorpha hendayensis","Enthen"
970156,"Enteromorpha limosa","Entlim"
627520,"Enteromorpha musciformis","Entmus"
361376,"Enteromorpha robertii-lamii","Entrob"
361380,"Enteromorpha stipitata","Entsti"
192190,"Enteropogon","Enteropogon"
354032,"Entocladia","Entocladia"
192191,"Entodon","Entodon"
